Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Street Name,Disposition
Subject Harassing,DR2025-00724,2/24/25 17:06,2/24/25 17:06,Gordon Commons on Taylor,E TAYLOR ST,MCAO - Transmitted
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00725,2/24/25 16:54,2/24/25 14:00,Student Services Building (SSB),S FOREST AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00719,2/24/25 10:28,2/24/25 10:28,,N 1ST AVE,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00720,2/24/25 10:12,2/22/25 21:00,Barrett - Cereus Hall,E APACHE BLVD,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00717,2/23/25 22:51,2/23/25 22:51,,E BROADWAY RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00716,2/23/25 22:10,2/22/25 19:22,Palo Verde East (PVE),E UNIVERSITY DR,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00715,2/23/25 22:06,2/23/25 22:06,,N 56TH AVE,Cited and Released
Domestic Fight,DR2025-00714,2/23/25 18:06,2/23/25 18:06,TLot 67,E 6TH ST,MCAO - Transmitted
Theft,DR2025-00713,2/23/25 11:46,2/21/25 17:00,SDFC (Sun Devil Fitness Center Tempe),E APACHE BLVD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00712,2/23/25 10:08,2/23/25 10:08,Art Museum,E 10TH ST,Pending Review- At least one solvability factor
Theft,DR2025-00710,2/23/25 1:09,2/22/25 21:30,TLot 40W,S MCALLISTER AVE,Pending Review- At least one solvability factor
Subject Stop,DR2025-00708,2/23/25 0:48,2/23/25 0:48,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Traffic Stop,DR2025-00709,2/23/25 0:45,2/23/25 0:45,,E UNIVERSITY DR,Cited and Released
Traffic Stop,DR2025-00705,2/22/25 23:35,2/22/25 23:35,,E RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00704,2/22/25 22:50,2/22/25 22:50,,E RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00703,2/22/25 22:39,2/22/25 22:39,,N 51ST AVE,Cited and Released
Traffic Stop,DR2025-00695,2/22/25 1:02,2/22/25 1:02,,E RIO SALADO PKWY,Cited and Released
Alcohol Violation,DR2025-00696,2/22/25 0:53,2/22/25 1:05,,S FOREST AVE,Cited and Released
Alcohol Violation,DR2025-00691,2/21/25 22:53,2/21/25 22:53,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Criminal Damage,DR2025-00690,2/21/25 22:28,2/20/25 22:00,HAV C-Wing - Jojoba,S MCALLISTER AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00688,2/21/25 20:52,2/21/25 20:52,Barrett - Willow Hall,E LEMON MALL,No Solvability Factors (Inactive)
Rape/Sex Assault,DR2025-00687,2/21/25 19:56,2/21/25 19:56,Banner University Medical Center,E MCDOWELL RD,Offense Did Not Occur (Unfounded)
Subject Threatening,DR2025-00683,2/21/25 14:49,2/20/25 6:00,Tooker House,E UNIVERSITY DR,Pending Review- At least one solvability factor
Theft,DR2025-00682,2/21/25 14:34,2/15/25 15:00,SDFC Intramural Fields,E LEMON MALL,No Solvability Factors (Inactive)
Fire Alarm,DR2025-00680,2/21/25 13:18,2/21/25 13:18,Helmick Center (CAC / College Ave Commons),S COLLEGE AVE,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00679,2/21/25 12:54,2/20/25 12:00,Palo Verde West (PVW) E UNIVERSITY DR,,No Solvability Factors (Inactive)
Theft,DR2025-00678,2/21/25 11:35,2/21/25 8:55,Wexler,S PALM WALK,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00684,2/21/25 11:23,2/21/25 11:23,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00685,2/21/25 9:46,2/21/25 9:46,Coor Hall,S FOREST MALL,No Solvability Factors (Inactive)
Subject Threatening,DR2025-00677,2/21/25 1:39,2/21/25 1:39,DLot McKinley,N 1ST ST,Long Formed for Prosecution
Traffic Stop,DR2025-00676,2/21/25 0:58,2/21/25 0:58,,S MILL AVE,Cited and Released
Traffic Stop,DR2025-00674,2/20/25 23:06,2/20/25 23:06,,N 57TH DR,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00672,2/20/25 21:01,2/20/25 21:01,Thunderbird Global Headquarters Building,N 1ST ST,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00671,2/20/25 18:50,2/20/25 17:47,Helmick Center (CAC / College Ave Commons),S COLLEGE AVE,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00670,2/20/25 18:21,2/20/25 18:21,Design North,S FOREST MALL,Long Formed for Prosecution
Welfare Check,DR2025-00669,2/20/25 18:09,2/20/25 18:09,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
Subject Stop,DR2025-00668,2/20/25 16:23,2/20/25 16:23,Northeast Fields,W THUNDERBIRD RD,Long Formed for Prosecution
Driving Under the Influence,DR2025-00665,2/20/25 0:40,2/20/25 0:40,,N 7TH ST,Cited and Released
Subject Stop,DR2025-00663,2/19/25 23:09,2/19/25 23:09,,E TERRACE MALL,Brief Alcohol Screening and Intervention
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00662,2/19/25 19:25,2/19/25 18:00,Schwada Classroom Office Building,E ORANGE ST,No Solvability Factors (Inactive)
Burglary,DR2025-00661,2/19/25 19:16,2/18/25 19:00,HAV D-Wing - Chuparosa,S MCALLISTER AVE,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00660,2/19/25 18:57,2/19/25 18:57,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00657,2/19/25 16:52,2/19/25 16:52,WLot 1,W UNIVERSITY WAY,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00656,2/19/25 16:13,2/19/25 9:00,Noble Science Library,E TYLER MALL,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00651,2/19/25 13:33,2/13/25 16:56,BCLS (Beus Center for Law and Society),E TAYLOR ST,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00650,2/19/25 13:03,2/18/25 15:00,Carson Student Athlete Center,E VETERANS WAY,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00648,2/19/25 6:21,2/19/25 6:21,Post Office,N CENTRAL AVE,Cited and Released
Traffic Stop,DR2025-00647,2/19/25 6:04,2/19/25 6:04,,E VAN BUREN ST,Cited and Released
Criminal Damage,DR2025-00646,2/19/25 0:46,2/19/25 0:46,PS UCENT,N 1ST ST,Cited and Released
Theft,DR2025-00644,2/18/25 16:03,2/14/25 18:30,Stauffer Communications,S FOREST MALL,No Solvability Factors (Inactive)
Theft,DR2025-00642,2/18/25 14:17,2/15/25 20:30,MU (Memorial Union),E ORANGE MALL,No Solvability Factors (Inactive)
Theft,DR2025-00643,2/18/25 14:11,2/18/25 14:11,Century Hall,S BACKUS MALL,Cited and Released
Criminal Damage,DR2025-00636,2/18/25 9:08,2/18/25 9:08,GLV (Greek Leadership Village),S RURAL RD,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00635,2/18/25 5:51,2/18/25 5:51,,SPENCE RURAL,Cited and Released
Narcotics,DR2025-00633,2/17/25 23:14,2/17/25 23:14,Post Office,N CENTRAL AVE,Cited and Released
Driving Under the Influence,DR2025-00632,2/17/25 23:05,2/17/25 23:05,Chase Bank,S MILL AVE,Cited and Released
Traffic Stop,DR2025-00630,2/17/25 23:01,2/17/25 23:01,,N 43RD AVE,Cited and Released
Traffic Stop,DR2025-00629,2/17/25 22:16,2/17/25 22:16,,E RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00627,2/17/25 19:40,2/17/25 19:40,,E RIO SALADO PKWY,Cited and Released
Citizen Assist,DR2025-00626,2/17/25 18:36,2/14/25 22:00,Tooker House,E UNIVERSITY DR,Offense Did Not Occur (Unfounded)
Criminal Damage,DR2025-00623,2/17/25 15:04,2/15/25 15:00,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
Suspicious Circumstances,DR2025-00622,2/17/25 13:47,2/17/25 13:47,Thunderbird Global Headquarters Building,N 1ST ST,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00621,2/17/25 9:46,2/14/25 9:46,Engineering Center B-Wing,S PALM WALK,No Solvability Factors (Inactive)
Subject Disturbing,DR2025-00618,2/17/25 1:48,2/17/25 1:48,,N 1ST AVE,Long Formed and Booked
Traffic Stop,DR2025-00616,2/16/25 21:10,2/16/25 21:10,,N 51ST AVE,Pending Review- At least one solvability factor
Burglary from Vehicle,DR2025-00612,2/16/25 9:23,2/16/25 2:50,PS Novus,S PACKARD DR,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00611,2/16/25 2:39,2/16/25 2:39,,E BROADWAY RD,Cited and Released
Drunk Disturbing,DR2025-00610,2/16/25 0:58,2/16/25 0:58,PS 4 - Rural,S RURAL RD,Cited and Released
Traffic Stop,DR2025-00607,2/15/25 23:45,2/15/25 23:45,,S RURAL RD,Cited and Released
Subject Stop,DR2025-00605,2/15/25 21:11,2/15/25 21:11,TLot 67,E 6TH ST,Cited and Released
Traffic Stop,DR2025-00604,2/15/25 19:49,2/15/25 19:49,,W THUNDERBIRD RD,Cited and Released
Racing/Reckless Driving,DR2025-00603,2/15/25 16:52,2/15/25 16:52,TLot 59 North,S PACKARD DR,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00602,2/15/25 13:02,8/1/24 13:02,GLV (Greek Leadership Village),S RURAL RD,Pending Review- At least one solvability factor
Disturbance,DR2025-00600,2/15/25 9:29,2/15/25 9:29,Palo Verde East (PVE),E UNIVERSITY DR,No Solvability Factors (Inactive)
Follow Up,DR2025-00601,2/15/25 7:19,2/15/25 7:19,,N BLACK CANYON AC,MCAO - Transmitted
Traffic Stop,DR2025-00599,2/15/25 0:31,2/15/25 0:31,Whiteman Tennis Center,E 6TH ST,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00598,2/14/25 21:46,2/14/25 18:38,Cady Fountain,S CADY MALL,No Solvability Factors (Inactive)
Theft,DR2025-00596,2/14/25 19:06,2/14/25 16:45,UCENT (University Center),N CENTRAL AVE,Offense Did Not Occur (Unfounded)
Criminal Damage,DR2025-00595,2/14/25 18:32,2/13/25 22:00,HAV E-Wing - Acacia,S MCALLISTER AVE,No Solvability Factors (Inactive)
Forgery/Fraud,DR2025-00594,2/14/25 14:27,2/14/25 13:01,Hassayampa Phase 1 (West),S MCALLISTER AVE,Cited and Released
Subject Threatening,DR2025-00591,2/14/25 13:59,2/14/25 13:59,ASUPD Tempe,E APACHE BLVD,MCAO - Transmitted
Burglary from Vehicle,DR2025-00592,2/14/25 13:40,2/14/25 13:40,PS VDS,E APACHE BLVD,No Solvability Factors (Inactive)
Forgery/Fraud,DR2025-00588,2/14/25 11:49,2/14/25 11:49,HAV B-Wing - Arroyo,S MCALLISTER AVE,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00587,2/14/25 10:49,2/14/25 10:49,,S PIER DR,Cited and Released
Driving Under the Influence,DR2025-00586,2/14/25 3:00,2/14/25 3:00,,E UNIVERSITY DR,Assigned to Patrol Officer
Subject Stop,DR2025-00585,2/14/25 0:25,2/14/25 0:25,PS 9 - Mill Avenue,S MILL AVE,Long Formed and Booked
Trespassing,DR2025-00581,2/13/25 22:48,2/13/25 22:48,Adelphi II Commons (Wings S/T/U),S SUNSET DR,Cited and Released
Welfare Check,DR2025-00580,2/13/25 22:45,2/13/25 22:45,Barrett - Agave Hall,E APACHE BLVD,Cited and Released
Traffic Stop,DR2025-00579,2/13/25 22:33,2/13/25 22:33,,E PIMA ST,Cited and Released
Officer in Distress,DR2025-00576,2/13/25 21:27,2/13/25 21:27,Villas at Vista Del Sol (VVDS),E APACHE BLVD,Long Formed and Booked
Burglary from Vehicle,DR2025-00574,2/13/25 18:21,2/11/25 22:00,PS Vista Del Sol,E APACHE BLVD,Pending Review- At least one solvability factor
Trespassing,DR2025-00572,2/13/25 15:58,2/13/25 15:58,Preparatory Academy Downtown,E FILLMORE ST,Exceptional- Victim Refused to Cooperate
Fire,DR2025-00571,2/13/25 15:01,2/13/25 15:01,Post Office,N CENTRAL AVE,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00568,2/13/25 13:16,2/11/25 16:00,Barrett Honors College,E LEMON MALL,MCAO - Transmitted
Theft,DR2025-00566,2/13/25 12:26,2/11/25 15:00,Engineering Research Center,E TYLER MALL,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00573,2/13/25 10:05,2/12/25 22:37,,E ADELPHI DR,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-00561,2/13/25 2:04,2/13/25 2:04,,E PLAYA DEL NORTE DR,Long Formed for Prosecution
Suspicious Person,DR2025-00560,2/13/25 0:34,2/13/25 0:34,Domino's VDS,E APACHE BLVD,Cited and Released
Subject Stop,DR2025-00557,2/12/25 23:02,2/12/25 23:02,,S RURAL RD,Long Formed for Prosecution
Sex Offense,DR2025-00559,2/12/25 23:01,2/12/25 22:30,La Sala Ballroom in University Center,N 47TH AVE,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00555,2/12/25 19:54,2/11/25 22:00,HAV A-Wing - Mohave,S MCALLISTER AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00553,2/12/25 19:21,2/12/25 10:00,HAV H-Wing - Acourtia,E LEMON ST,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00552,2/12/25 18:17,2/12/25 18:17,PS VDS,E APACHE BLVD,Pending Review- At least one solvability factor
Burglary from Vehicle,DR2025-00546,2/12/25 13:20,2/11/25 22:00,PS VDS,E APACHE BLVD,MCAO - Transmitted
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00545,2/12/25 12:14,2/12/25 9:00,Barrett - Rosewood Hall S RURAL RD,,MCAO - Transmitted
Suspicious Person,DR2025-00544,2/12/25 10:03,2/12/25 10:03,PS UCENT,N 1ST ST,Cited and Released
Traffic Stop,DR2025-00537,2/11/25 22:25,2/11/25 22:25,,W THUNDERBIRD RD,Cited and Released
Rape/Sex Assault,DR2025-00538,2/11/25 22:09,2/11/25 22:09,Barrett - Agave Hall,E APACHE BLVD,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00533,2/11/25 18:32,2/11/25 18:32,Bulldog Hall,E ORANGE ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00531,2/11/25 16:58,2/11/25 16:58,,THUNDERBIRD RD,No Solvability Factors (Inactive)
Information Report,DR2025-00530,2/11/25 15:33,2/7/25 15:00,ASUPD Tempe,E APACHE BLVD,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00529,2/11/25 14:55,2/11/25 14:55,Payne Hall,S FOREST MALL,Pending Review- At least one solvability factor
Suspicious Vehicle,DR2025-00526,2/11/25 1:16,2/11/25 1:16,TLot 59,S PACKARD DR,Long Formed and Booked
Traffic Stop,DR2025-00524,2/11/25 0:42,2/11/25 0:42,,S MILL AVE,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00522,2/10/25 21:27,2/10/25 18:30,Design North,S FOREST MALL,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00520,2/10/25 19:11,2/9/25 20:00,PS 1 - Apache,E LEMON ST,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00519,2/10/25 19:07,2/9/25 22:00,Best B,S FOREST AVE,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00518,2/10/25 18:06,2/9/25 19:45,PS 9 - Mill Avenue,S MILL AVE,Pending Review- At least one solvability factor
Subject Stop,DR2025-00517,2/10/25 17:06,2/10/25 17:06,,E VECINO AVE,No Solvability Factors (Inactive)
Subject Threatening,DR2025-00516,2/10/25 13:35,2/10/25 13:35,UCENT (University Center),N CENTRAL AVE,Pending Review- At least one solvability factor
Burglary,DR2025-00514,2/10/25 6:25,2/10/25 3:45,Barrett Fountain,E APACHE BLVD,MCAO - Transmitted
Traffic Stop,DR2025-00510,2/10/25 1:27,2/10/25 1:27,,S RURAL RD,Cited and Released
Traffic Stop,DR2025-00511,2/10/25 1:23,2/10/25 1:23,,S MCALLISTER AVE,Cited and Released
Driving Under the Influence,DR2025-00509,2/9/25 23:14,2/9/25 23:14,,N 43RD AVE,Long Formed for Prosecution
Domestic Fight,DR2025-00505,2/9/25 17:29,2/9/25 17:00,Manzanita Hall,E UNIVERSITY DR,MCAO - Transmitted
Criminal Damage,DR2025-00504,2/9/25 15:11,2/8/25 15:00,,S RURAL RD,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00503,2/9/25 14:10,2/8/25 21:30,,S SUNSET DR,No Solvability Factors (Inactive)
Citizen Assist,DR2025-00502,2/9/25 10:54,2/9/25 10:54,MU (Memorial Union),E ORANGE MALL,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00501,2/9/25 10:06,2/9/25 10:06,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00498,2/9/25 6:44,2/9/25 6:43,,N 1ST AVE,Pending Review- At least one solvability factor
Forgery/Fraud,DR2025-00497,2/9/25 5:09,2/9/25 5:09,VDS D-Wing (Vista Del Sol D-Wing),E APACHE BLVD,No Solvability Factors (Inactive)
Subject Stop,DR2025-00496,2/9/25 3:30,2/9/25 3:30,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Criminal Damage,DR2025-00493,2/8/25 17:01,2/8/25 17:01,Quad 4,E TIBURON AVE,No Solvability Factors (Inactive)
Narcotics,DR2025-00492,2/8/25 15:51,2/8/25 15:51,ISTB 7,E UNIVERSITY DR,MCAO - Transmitted
Theft,DR2025-00490,2/8/25 12:29,1/24/25 0:01,Manzanita Hall,E UNIVERSITY DR,MCAO - Transmitted
Surveillance,DR2025-00489,2/8/25 11:20,2/8/25 11:20,Social Sciences Building (SS),S CADY MALL,MCAO - Transmitted
Driving Under the Influence,DR2025-00488,2/8/25 1:05,2/8/25 1:05,Civic Space Park,N CENTRAL AVE,Cited and Released
Traffic Stop,DR2025-00487,2/8/25 0:21,2/8/25 0:21,,E RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00486,2/7/25 23:20,2/7/25 23:20,,E TERRACE MALL,Cited and Released
Criminal Damage,DR2025-00485,2/7/25 23:03,2/7/25 19:00,HAV D-Wing - Chuparosa,S MCALLISTER AVE,No Solvability Factors (Inactive)
Subject Stop,DR2025-00484,2/7/25 22:43,2/7/25 22:43,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Subject Stop,DR2025-00483,2/7/25 22:14,2/7/25 22:14,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Traffic Stop,DR2025-00480,2/7/25 19:51,2/7/25 19:51,,N 1ST AVE,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00476,2/7/25 15:35,2/7/25 9:30,Thunderbird Global Headquarters Building,N 1ST ST,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00473,2/7/25 11:24,2/7/25 1:30,DLot McKinley,N 1ST ST,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00472,2/7/25 8:22,2/7/25 8:22,Farmer,S FOREST MALL,Long Formed and Booked
Traffic Stop,DR2025-00470,2/7/25 4:48,2/7/25 4:48,,E UNIVERSITY DR,Cited and Released
Subject Stop,DR2025-00468,2/7/25 1:03,2/7/25 1:03,HAV A-Wing - Mohave,S MCALLISTER AVE,Brief Alcohol Screening and Intervention
Subject Stop,DR2025-00467,2/6/25 22:13,2/6/25 22:13,Noble Science Library,E TYLER MALL,Cited and Released
Assault,DR2025-00466,2/6/25 20:29,2/6/25 20:29,Bulldog Hall,E ORANGE ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00465,2/6/25 18:28,2/6/25 18:28,,N 1ST ST,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00464,2/6/25 14:08,1/31/25 13:00,Biodesign Institute A-Wing,S MCALLISTER AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00455,2/6/25 5:24,2/6/25 4:30,BCLS (Beus Center for Law and Society),E TAYLOR ST,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00453,2/5/25 22:45,2/4/25 22:00,HAV D-Wing - Chuparosa,S MCALLISTER AVE,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00452,2/5/25 21:53,2/5/25 21:53,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00445,2/5/25 17:12,2/5/25 11:45,BCLS (Beus Center for Law and Society),E TAYLOR ST,No Solvability Factors (Inactive)
Theft,DR2025-00444,2/5/25 16:53,2/5/25 13:30,Coor Hall,S FOREST MALL,No Solvability Factors (Inactive)
Theft,DR2025-00443,2/5/25 16:35,2/1/25 12:00,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
Assault,DR2025-00442,2/5/25 16:17,1/29/25 10:10,Preparatory Academy Downtown,E FILLMORE ST,Pending Review- At least one solvability factor
Assault,DR2025-00439,2/5/25 15:18,2/5/25 15:12,Bookstore,E ORANGE ST,Pending Review- At least one solvability factor
"Bike, Scooter or Skateboard Theft",DR2025-00441,2/5/25 15:00,2/5/25 12:00,UCENT (University Center),N CENTRAL AVE,Pending Review- At least one solvability factor
Trespassing,DR2025-00435,2/5/25 2:38,2/5/25 2:38,Post Office,N CENTRAL AVE,MCAO - Transmitted
Subject Stop,DR2025-00434,2/4/25 23:44,2/4/25 23:44,Skyspace,E TERRACE MALL,MCAO - Transmitted
Traffic Stop,DR2025-00433,2/4/25 23:22,2/4/25 23:22,,E UNIVERSITY DR,Long Formed for Prosecution
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00432,2/4/25 22:58,2/4/25 15:00,Hayden Library,E ORANGE MALL,Pending Review- At least one solvability factor
Subject Harassing,DR2025-00429,2/4/25 19:16,2/4/25 19:16,Gordon Commons on Taylor,E TAYLOR ST,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00428,2/4/25 19:01,2/4/25 16:10,Armstrong Hall,S MCALLISTER AVE,Pending Review- At least one solvability factor
Burglary from Vehicle,DR2025-00425,2/4/25 16:36,2/4/25 8:30,,S MCALLISTER AVE,MCAO - Transmitted
Burglary from Vehicle,DR2025-00426,2/4/25 16:29,2/4/25 16:29,TLot 50,E VETERANS WAY,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00424,2/4/25 13:23,2/4/25 13:19,PS 1 - Apache,E LEMON ST,Cited and Released
Burglary from Vehicle,DR2025-00418,2/4/25 8:25,2/3/25 16:00,PS 9 - Mill Avenue,S MILL AVE,MCAO - Transmitted
Suspicious Vehicle,DR2025-00416,2/4/25 1:09,2/4/25 1:09,Sonora Center,S RURAL RD,MCAO - Transmitted
Traffic Stop,DR2025-00412,2/3/25 19:43,2/3/25 19:43,,N 3RD ST,MCAO - Transmitted
"Bike, Scooter or Skateboard Theft",DR2025-00408,2/3/25 16:26,12/14/24 16:26,Barrett - Agave Hall,E APACHE BLVD,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00407,2/3/25 15:09,2/3/25 9:15,UCB (University Center Building),N 47TH AVE,No Solvability Factors (Inactive)
Theft,DR2025-00406,2/3/25 13:14,1/22/25 12:00,Bookstore,E ORANGE ST,Long Formed for Prosecution
Traffic Stop,DR2025-00403,2/3/25 0:49,2/3/25 0:49,,W RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00401,2/2/25 23:24,2/2/25 23:24,,S RURAL RD,Cited and Released
Theft,DR2025-00399,2/2/25 21:42,2/2/25 17:38,Tooker House Dining,E UNIVERSITY DR,No Solvability Factors (Inactive)
Burglary,DR2025-00395,2/2/25 16:18,2/1/25 17:30,HAV B-Wing - Arroyo,S MCALLISTER AVE,MCAO - Transmitted
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00394,2/2/25 13:34,2/2/25 2:00,Manzanita Bike Racks,E UNIVERSITY DR,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00392,2/2/25 11:10,2/2/25 8:10,Hassayampa Phase 1 (West),S MCALLISTER AVE,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00387,2/2/25 3:43,2/2/25 3:43,,Mcdonald's - 43rd/Tbird W THUNDERBIRD RD,Cited and Released
Traffic Stop,DR2025-00388,2/2/25 3:10,2/2/25 3:10,,E LEMON ST,MCAO - Transmitted
Driving Under the Influence,DR2025-00386,2/2/25 2:13,2/2/25 2:13,,N 3RD ST,Long Formed for Prosecution
Subject Stop,DR2025-00385,2/2/25 1:20,2/2/25 1:20,Panda Express (Rur/Bro),E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00384,2/1/25 23:23,2/1/25 23:23,,E LEMON ST,Cited and Released
Driving Under the Influence,DR2025-00383,2/1/25 22:45,2/1/25 22:45,,E 8TH ST,Cited and Released
Traffic Stop,DR2025-00382,2/1/25 21:14,2/1/25 21:14,,N 4TH ST,Cited and Released
Subject Threatening,DR2025-00381,2/1/25 16:27,2/1/25 16:27,MU (Memorial Union),E ORANGE MALL,No Solvability Factors (Inactive)
Trespassing,DR2025-00379,2/1/25 14:32,2/1/25 14:32,Mullett Arena,S PACKARD DR,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00378,2/1/25 10:36,1/27/25 15:00,Wilson Hall,E ORANGE MALL,No Solvability Factors (Inactive)
Trespassing,DR2025-00376,2/1/25 2:49,2/1/25 0:18,University Gateway Building (UGB),S MILL AVE,No Solvability Factors (Inactive)
Accident Non Injury,DR2025-00375,2/1/25 0:00,2/1/25 0:00,,S PACKARD DR,Cited and Released
Traffic Stop,DR2025-00374,1/31/25 23:25,1/31/25 23:25,,S RURAL RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00372,1/31/25 20:17,1/31/25 20:17,Hassayampa Dining Hall,E LEMON ST,Pending Review- At least one solvability factor
