Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Street Name,Disposition
Theft,DR2025-00371,1/31/25 19:12,1/31/25 19:12,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00369,1/31/25 17:21,1/30/25 20:00,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00366,1/31/25 16:10,1/31/25 6:45,Discovery Hall,E LEMON ST,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00364,1/31/25 14:11,1/31/25 10:00,Physical Sciences H-Wing (PSH),E UNIVERSITY DR,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00362,1/31/25 11:13,1/31/25 11:13,PS 1 - Apache,E LEMON ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00358,1/31/25 1:48,1/31/25 1:48,,N 1ST ST,Cited and Booked
Subject Stop,DR2025-00355,1/31/25 0:07,1/31/25 0:07,TLot 63,S TERRACE RD,Brief Alcohol Screening and Intervention
Traffic Stop,DR2025-00353,1/30/25 23:43,1/30/25 23:43,,N 51ST AVE,Cited and Released
Subject Stop,DR2025-00351,1/30/25 22:46,1/30/25 22:46,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00350,1/30/25 22:01,1/30/25 22:01,,S MCCLINTOCK DR,Cited and Released
Criminal Damage,DR2025-00346,1/30/25 19:34,1/29/25 22:00,Barrett - Juniper Hall,S RURAL RD,No Solvability Factors (Inactive)
Subject Stop,DR2025-00345,1/30/25 18:11,1/30/25 18:11,,S TWINING,No Solvability Factors (Inactive)
Accident Non Injury,DR2025-00343,1/30/25 13:56,1/30/25 13:36,,S PACKARD DR,No Solvability Factors (Inactive)
Subject Threatening,DR2025-00342,1/30/25 11:08,1/30/25 11:08,Preparatory Academy Downtown,E FILLMORE ST,No Solvability Factors (Inactive)
Alcohol Violation,DR2025-00341,1/30/25 0:25,1/30/25 0:25,TLot 40E,E LEMON ST,Brief Alcohol Screening and Intervention
Alcohol Violation,DR2025-00340,1/29/25 23:47,1/29/25 23:47,Hassayampa Phase 2 (East),E LEMON ST,Brief Alcohol Screening and Intervention
Criminal Damage,DR2025-00337,1/29/25 18:06,1/26/25 21:30,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
Disturbance,DR2025-00335,1/29/25 15:53,1/29/25 15:53,Student Pavilion,E ORANGE MALL,Long Formed for Prosecution
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00333,1/29/25 14:57,1/29/25 13:55,ISTB 7,E UNIVERSITY DR,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00330,1/29/25 11:52,1/29/25 10:33,Bulldog Hall,E ORANGE ST,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00329,1/29/25 11:34,1/29/25 9:50,BAC (Business Administration C-Wing),E LEMON ST,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00328,1/29/25 10:32,1/28/25 17:00,Ross Blakey Hall,S MCALLISTER AVE,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00327,1/29/25 10:12,1/29/25 8:30,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00326,1/29/25 8:24,1/29/25 8:24,Chick-fil-A (DPC),E TAYLOR ST,Cited and Released
Welfare Check,DR2025-00325,1/29/25 8:16,1/29/25 8:16,Nelson Fine Arts Center E 10TH ST,,No Solvability Factors (Inactive)
Accident Non Injury,DR2025-00324,1/29/25 4:00,1/29/25 4:00,Biodesign Institute C-Wing,E TYLER ST,Long Formed for Prosecution
Driving Under the Influence,DR2025-00323,1/29/25 2:40,1/29/25 2:40,,N 4TH ST,Long Formed for Prosecution
Domestic Fight,DR2025-00322,1/29/25 2:30,1/29/25 2:30,Hassayampa Phase 1 (West),S MCALLISTER AVE,MCAO - Transmitted
Racing/Reckless Driving,DR2025-00321,1/29/25 1:08,1/29/25 1:08,,N 5TH ST,Cited and Released
Racing/Reckless Driving,DR2025-00320,1/28/25 23:52,1/28/25 23:52,,S RURAL RD,Cited and Released
Driving Under the Influence,DR2025-00319,1/28/25 23:09,1/28/25 23:09,,N 2ND ST,Long Formed for Prosecution
Suspicious Person,DR2025-00318,1/28/25 22:01,1/28/25 22:01,Tooker House,E UNIVERSITY DR,Long Formed for Prosecution
"Bike, Scooter or Skateboard Theft",DR2025-00316,1/28/25 20:45,1/28/25 17:00,Noble Science Library,E TYLER MALL,No Solvability Factors (Inactive)
Theft,DR2025-00315,1/28/25 14:28,1/28/25 10:00,Thunderbird Global Headquarters Building,N 1ST ST,Pending Review- At least one solvability factor
Subject Harassing,DR2025-00313,1/28/25 10:21,10/30/24 1:00,Fletcher Library,N 47TH AVE,Pending Review- At least one solvability factor
"Accident Non Injury, Hit & Run",DR2025-00308,1/27/25 21:51,1/27/25 21:51,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Trespassing,DR2025-00307,1/27/25 19:58,1/27/25 19:58,Tooker House,E UNIVERSITY DR,Long Formed and Booked
Criminal Damage,DR2025-00304,1/27/25 17:14,1/27/25 17:14,WLot 17,W UNIVERSITY WAY N,No Solvability Factors (Inactive)
Alcohol Violation,DR2025-00302,1/27/25 15:14,1/27/25 15:14,Preparatory Academy Downtown,E FILLMORE ST,Exceptional- Juvenile/No Custody
Criminal Damage,DR2025-00301,1/27/25 13:38,1/24/25 23:57,BAC (Business Administration C-Wing),E LEMON ST,MCAO - Transmitted
Aggravated Assault,DR2025-00300,1/27/25 13:02,1/27/25 12:30,Best B,S FOREST AVE,Long Formed and Booked
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00299,1/27/25 9:12,1/26/25 23:30,Palo Verde West (PVW) E UNIVERSITY DR,,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00298,1/27/25 9:10,1/24/25 22:46,Physical Sciences G-Wing (PSG),E UNIVERSITY DR,MCAO - Transmitted
Traffic Stop,DR2025-00296,1/27/25 0:10,1/27/25 0:10,,S RURAL RD,Cited and Released
Traffic Stop,DR2025-00294,1/26/25 21:48,1/26/25 21:48,,E RIO SALADO PKWY S GREENFIELD RD,Cited and Released
Traffic Stop,DR2025-00293,1/26/25 21:37,1/26/25 21:37,,,Cited and Released
Theft,DR2025-00292,1/26/25 18:46,1/26/25 18:46,,E UNON AVE/ S GREENFILED RD,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00291,1/26/25 14:55,1/26/25 13:00,Physical Sciences B-Wing (PSB),S PALM WALK,No Solvability Factors (Inactive)
Theft,DR2025-00286,1/26/25 10:10,1/26/25 10:10,The Market at Taylor Place,E TAYLOR ST,Cited and Released
Suspicious Person,DR2025-00283,1/26/25 5:27,1/26/25 5:27,PS 1 - Apache,E LEMON ST,Cited and Released
Traffic Stop,DR2025-00282,1/26/25 2:29,1/26/25 2:29,,E LEMON ST,Long Formed for Prosecution
Traffic Stop,DR2025-00281,1/26/25 0:28,1/26/25 0:28,,S MCALLISTER AVE,Cited and Released
Criminal Damage,DR2025-00278,1/25/25 22:29,1/25/25 20:00,Barrett - Juniper Hall,S RURAL RD,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-00277,1/25/25 22:26,1/25/25 22:26,,N CENTRAL AVE,Long Formed for Prosecution
Traffic Stop,DR2025-00275,1/25/25 22:02,1/25/25 22:02,,S RURAL RD,Cited and Released
Criminal Damage,DR2025-00274,1/25/25 20:53,1/25/25 20:34,Barrett - Rosewood Hall S RURAL RD,,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00273,1/25/25 19:39,1/23/25 17:00,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00272,1/25/25 16:06,1/25/25 16:06,Interdisciplinary B,S CADY MALL,MCAO - Transmitted
Theft,DR2025-00270,1/25/25 12:14,1/24/25 19:00,Barrett - Honors Hall,E LEMON ST,No Solvability Factors (Inactive)
Burglary,DR2025-00269,1/25/25 11:10,1/25/25 11:10,Herberger Young Scholars Academy,W UNIVERSITY WAY N,Pending Review- At least one solvability factor
"Bike, Scooter or Skateboard Theft",DR2025-00268,1/25/25 5:38,1/25/25 5:38,Tooker Bike Racks NE,E UNIVERSITY DR,Long Formed for Prosecution
Assault,DR2025-00263,1/25/25 1:05,1/25/25 1:05,DLot McKinley,N 1ST ST,MCAO - Transmitted
Traffic Stop,DR2025-00259,1/24/25 22:44,1/24/25 22:44,,E RIO SALADO PKWY,Cited and Released
Alcohol Violation,DR2025-00260,1/24/25 22:27,1/24/25 22:27,Tooker POD Market,E UNIVERSITY DR,Cited and Released
Suspicious Person,DR2025-00254,1/24/25 14:32,1/24/25 14:32,Hayden Library,E ORANGE MALL,Cited and Released
Subject Harassing,DR2025-00252,1/24/25 13:07,1/24/25 13:07,Hayden Hall,E APACHE BLVD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00250,1/24/25 11:25,1/23/25 17:52,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00249,1/24/25 8:13,1/24/25 3:01,PS 5 - Stadium,E VETERANS WAY,MCAO - Transmitted
Trespassing,DR2025-00248,1/24/25 5:22,1/24/25 5:22,Interdisciplinary B,S CADY MALL,Long Formed and Booked
Drunk Disturbing,DR2025-00247,1/24/25 3:12,1/24/25 3:12,BAC (Business Administration C-Wing),E LEMON ST,Cited and Released
Suspicious Person,DR2025-00246,1/24/25 2:31,1/24/25 2:31,BCLS Parking Garage,E TAYLOR ST,Cited and Released
Alcohol Violation,DR2025-00245,1/24/25 2:01,1/24/25 2:01,Dutch Bros,S RURAL RD,Cited and Released
Trespassing,DR2025-00243,1/24/25 0:01,1/24/25 0:01,La Sala Ballroom in University Center,N 47TH AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00238,1/23/25 18:41,1/23/25 18:41,,E LEMON ST,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00237,1/23/25 16:48,1/23/25 14:45,BAC (Business Administration C-Wing),E LEMON ST,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00234,1/23/25 14:24,1/22/25 17:45,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00235,1/23/25 14:19,8/10/24 14:00,PS 4 - Rural,S RURAL RD,Pending Review- At least one solvability factor
Theft,DR2025-00229,1/23/25 9:21,1/22/25 10:00,ASUPD DPC,N CENTRAL AVE,Pending Review- At least one solvability factor
Subject with Knife,DR2025-00228,1/23/25 8:05,1/23/25 8:05,Desert Financial Arena (DFA),E VETERANS WAY,No Solvability Factors (Inactive)
Burglary Alarm,DR2025-00227,1/23/25 2:58,1/23/25 2:58,CRB Novus 3G,E 6TH ST,No Solvability Factors (Inactive)
Alcohol Violation,DR2025-00226,1/23/25 1:02,1/23/25 1:02,Manzanita Hall,E UNIVERSITY DR,Brief Alcohol Screening and Intervention
Forgery/Fraud,DR2025-00225,1/23/25 0:41,1/23/25 0:41,Best B,S FOREST AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00223,1/22/25 22:46,1/22/25 17:30,HAV G-Wing - Verbena,E LEMON ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00222,1/22/25 22:39,1/22/25 22:39,,E TERRACE MALL,Cited and Released
Surveillance,DR2025-00221,1/22/25 20:48,1/22/25 20:48,,E UNIVERSITY DR,Long Formed and Booked
Subject Harassing,DR2025-00215,1/22/25 15:12,1/22/25 15:12,Preparatory Academy Downtown,E FILLMORE ST,Offense Did Not Occur (Unfounded)
Theft,DR2025-00211,1/22/25 7:44,11/18/24 7:44,Wexler,S PALM WALK,No Solvability Factors (Inactive)
Alcohol Violation,DR2025-00208,1/22/25 1:22,1/22/25 1:22,VDS B-Wing (Vista Del Sol B-Wing),E APACHE BLVD,Brief Alcohol Screening and Intervention
"Accident Non Injury, Hit & Run",DR2025-00200,1/21/25 15:00,1/21/25 10:20,PS 5 - Stadium,E VETERANS WAY,Pending Review- At least one solvability factor
Burglary,DR2025-00199,1/21/25 13:32,1/21/25 13:32,,S ATHENA,Pending Review- At least one solvability factor
"Bike, Scooter or Skateboard Theft",DR2025-00198,1/21/25 13:25,12/11/24 12:00,,E POLK ST,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00197,1/21/25 13:04,1/18/25 17:00,Physical Sciences A-Wing (PSA),S PALM WALK,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00196,1/21/25 9:29,1/16/25 9:00,Thunderbird Global Headquarters Building,N 1ST ST,Pending Review- At least one solvability factor
Suspicious Vehicle,DR2025-00193,1/20/25 17:08,1/20/25 17:08,,S TERRIPIN,Long Formed and Booked
Theft,DR2025-00190,1/20/25 12:01,1/20/25 11:26,Verde Dining Hall,W UNIVERSITY WAY N,Cited and Released
Indecent Exposure,DR2025-00189,1/20/25 11:44,1/20/25 11:40,,N 1ST AVE,Cited and Released
Theft,DR2025-00188,1/20/25 11:25,1/13/25 12:00,University Towers,S FOREST AVE,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00186,1/20/25 4:44,1/20/25 4:44,Tooker House,E UNIVERSITY DR,Cited and Released
Suspicious Person,DR2025-00185,1/20/25 2:42,1/20/25 2:42,UCENT (University Center),N CENTRAL AVE,Long Formed and Booked
Trespassing,DR2025-00181,1/19/25 21:31,1/19/25 21:31,MAS (Mountain America Stadium),E VETERANS WAY,Cited and Released
Criminal Damage,DR2025-00180,1/19/25 20:54,1/19/25 0:00,Palo Verde West (PVW) E UNIVERSITY DR,,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00179,1/19/25 19:19,1/19/25 19:19,MU (Memorial Union),E ORANGE MALL,MCAO - Transmitted
Suspicious Person,DR2025-00178,1/19/25 18:27,1/19/25 18:27,Best C,S FOREST AVE,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00177,1/19/25 14:13,1/19/25 3:00,Century Hall,S BACKUS MALL,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00175,1/19/25 1:49,1/19/25 1:20,GLV (Greek Leadership Village),S RURAL RD,No Solvability Factors (Inactive)
Follow Up,DR2025-00173,1/18/25 10:05,1/18/25 10:05,ASUPD Tempe,E APACHE BLVD,MCAO - Transmitted
Traffic Stop,DR2025-00172,1/18/25 8:45,1/18/25 8:45,,N 51ST AVE,Cited and Released
Criminal Damage,DR2025-00171,1/18/25 1:44,1/18/25 1:20,HAV D-Wing - Chuparosa,S MCALLISTER AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00169,1/17/25 23:33,1/17/25 23:33,,E RIO SALADO PKWY,Cited and Released
Assault,DR2025-00167,1/17/25 16:24,1/17/25 16:24,North Desert Village (NDV),S STERLING,MCAO - Transmitted
Suspicious Circumstances,DR2025-00165,1/17/25 15:38,1/17/25 15:38,Hayden Library,E ORANGE MALL,MCAO - Transmitted
Suspicious Person,DR2025-00164,1/17/25 10:03,1/17/25 10:03,,S ROWEN,Cited and Released
Theft,DR2025-00163,1/17/25 9:41,1/12/25 17:00,PS 5 - Stadium,E VETERANS WAY,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-00161,1/17/25 3:31,1/17/25 3:31,,S RURAL RD,Cited and Released
Alcohol Violation,DR2025-00160,1/17/25 0:23,1/17/25 0:23,,S TERRACE RD,Cited and Released
Subject Stop,DR2025-00159,1/16/25 23:06,1/16/25 23:06,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00158,1/16/25 21:40,1/16/25 21:40,Barrett - Cereus Hall,E APACHE BLVD,MCAO - Transmitted
Fight,DR2025-00155,1/16/25 18:57,1/16/25 18:57,,N 1ST AVE,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00153,1/16/25 14:55,1/15/25 16:00,Barrett Honors College,E LEMON MALL,MCAO - Transmitted
Driving Under the Influence,DR2025-00146,1/15/25 22:36,1/15/25 22:36,,N 1ST AVE,Long Formed for Prosecution
Criminal Damage,DR2025-00144,1/15/25 20:56,1/14/25 0:00,HAV H-Wing - Acourtia,E LEMON ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00143,1/15/25 19:41,1/15/25 19:41,McDonald's - Rural,S RURAL RD,Cited and Released
Criminal Damage,DR2025-00141,1/15/25 17:42,1/15/25 8:30,Tooker House,E UNIVERSITY DR,Offense Did Not Occur (Unfounded)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00137,1/15/25 14:48,1/15/25 12:00,UCB (University Center Building),N 47TH AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00135,1/15/25 12:40,1/15/25 12:40,MAS (Mountain America Stadium),E VETERANS WAY,No Solvability Factors (Inactive)
Forgery/Fraud,DR2025-00136,1/15/25 12:33,1/15/25 12:33,Las Casas Residence Hall,N 49TH AVE,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00133,1/15/25 10:22,1/15/25 8:50,Design South,S FOREST MALL,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00132,1/15/25 8:36,8/15/24 8:36,ASUPD Tempe,E APACHE BLVD,No Solvability Factors (Inactive)
Theft,DR2025-00131,1/15/25 8:19,1/15/25 8:19,ISTB 2,S MCALLISTER AVE,No Solvability Factors (Inactive)
Indecent Exposure,DR2025-00130,1/15/25 7:41,1/15/25 7:40,BCLS Parking Garage,E TAYLOR ST,Cited and Released
Traffic Stop,DR2025-00129,1/15/25 5:24,1/15/25 5:24,,W UNIVERSITY DR,Cited and Released
Traffic Stop,DR2025-00128,1/15/25 5:16,1/15/25 5:16,Houston TX Hot Chicken,E UNIVERSITY DR,Cited and Released
Disturbing Loud Party,DR2025-00127,1/15/25 0:35,1/15/25 0:35,GLV Building A,S RURAL RD,Cited and Released
Subject Harassing,DR2025-00123,1/14/25 20:30,1/14/25 20:30,UCB (University Center Building),N 47TH AVE,Pending Review- At least one solvability factor
Theft,DR2025-00121,1/14/25 19:26,1/14/25 19:26,HAV D-Wing - Chuparosa,S MCALLISTER AVE,Assigned to Investigations
Stolen Vehicle,DR2025-00119,1/14/25 18:55,12/12/24 12:00,PS 6 - Towers,E 6TH ST,Assigned to Investigations
Subject Harassing,DR2025-00120,1/14/25 16:11,1/14/25 13:35,McClintock Hall,S FOREST MALL,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00117,1/14/25 15:08,1/13/25 12:00,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
Information Report,DR2025-00115,1/14/25 13:50,1/14/25 11:54,ASUPD Tempe,E APACHE BLVD,Pending Review- At least one solvability factor
Narcotics,DR2025-00107,1/13/25 22:29,1/13/25 22:29,,N 3RD AVE,MCAO - Transmitted
Stolen Vehicle,DR2025-00105,1/13/25 19:59,1/13/25 19:59,Hayden Library,E ORANGE MALL,MCAO - Transmitted
"Bike, Scooter or Skateboard Theft",DR2025-00103,1/13/25 14:41,12/6/24 7:30,Barrett - Cereus Hall,E APACHE BLVD,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00101,1/13/25 12:46,1/13/25 8:30,TLot 59,S PACKARD DR,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00099,1/13/25 10:36,1/11/25 18:15,TLot 58,S PACKARD DR,No Solvability Factors (Inactive)
Welfare Check,DR2025-00097,1/13/25 7:41,1/13/25 7:41,Interdisciplinary B,S CADY MALL,Cited and Released
Traffic Stop,DR2025-00096,1/13/25 1:12,1/13/25 1:12,,E PLAYA DEL NORTE DR,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00092,1/12/25 11:16,12/13/24 8:00,Barrett - Cereus Hall,E APACHE BLVD,Pending Review- At least one solvability factor
Suspicious Person,DR2025-00089,1/11/25 22:54,1/11/25 22:54,Barrett - Sage North,E LEMON MALL,MCAO - Transmitted
Subject Harassing,DR2025-00088,1/11/25 22:22,1/11/25 9:54,McClintock Hall,S FOREST MALL,Cited and Released
Driving Under the Influence,DR2025-00087,1/11/25 22:21,1/11/25 22:21,,N 51ST AVE,Cited and Released
Surveillance,DR2025-00085,1/11/25 19:12,1/11/25 19:12,Graduate Hotel,E APACHE BLVD,Long Formed and Booked
Follow Up,DR2025-00084,1/11/25 18:24,1/11/25 18:24,Barrett - Sage South,E LEMON MALL,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00082,1/11/25 0:09,1/11/25 0:09,,N 7TH ST,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00078,1/10/25 7:08,1/10/25 3:50,,E UNIVERSITY DR,Pending Review- At least one solvability factor
Driving Under the Influence,DR2025-00077,1/10/25 1:12,1/10/25 1:12,,S COLLEGE AVE,Cited and Released
Traffic Stop,DR2025-00075,1/9/25 23:10,1/9/25 23:10,,E VAN BUREN ST,Cited and Released
Suspicious Vehicle,DR2025-00073,1/9/25 21:58,1/9/25 21:58,CSB (Community Services Building),E CURRY RD,Cited and Released
Trespassing,DR2025-00071,1/9/25 19:17,1/9/25 16:17,Farmer,S FOREST MALL,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00069,1/9/25 16:36,1/9/25 16:36,Best Hall,S FOREST MALL,No Solvability Factors (Inactive)
Trespassing,DR2025-00070,1/9/25 16:26,1/9/25 16:26,Post Office,N CENTRAL AVE,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00068,1/9/25 16:04,12/26/24 0:00,Tooker House,E UNIVERSITY DR,Cited and Released
Criminal Damage,DR2025-00067,1/9/25 12:35,1/3/25 13:00,Sands Classroom & Lecture Hall,N 47TH AVE,No Solvability Factors (Inactive)
Welfare Check,DR2025-00064,1/9/25 0:30,1/9/25 0:30,Hayden Hall,E APACHE BLVD,Long Formed and Booked
Suspicious Person,DR2025-00062,1/8/25 23:31,1/8/25 23:31,MU (Memorial Union),E ORANGE MALL,Cited and Released
Criminal Damage,DR2025-00061,1/8/25 23:31,1/8/25 23:31,Fulton Center,E UNIVERSITY DR,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00057,1/8/25 21:30,1/8/25 21:30,Sands Classroom & Lecture Hall,N 47TH AVE,No Solvability Factors (Inactive)
Theft,DR2025-00054,1/8/25 10:55,12/28/24 17:00,MAS (Mountain America Stadium),E VETERANS WAY,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00052,1/7/25 22:49,1/7/25 22:49,,N 2ND ST,Cited and Booked
Traffic Stop,DR2025-00048,1/7/25 5:28,1/7/25 5:28,Tooker House Dining,E UNIVERSITY DR,Cited and Released
Traffic Stop,DR2025-00046,1/6/25 23:19,1/6/25 23:19,,E UNIVERSITY DR,Cited and Released
Narcotics,DR2025-00047,1/6/25 23:08,1/6/25 23:08,,N 5TH ST,MCAO - Transmitted
Suspicious Person,DR2025-00043,1/6/25 20:26,1/6/25 20:26,Tooker House,E UNIVERSITY DR,Long Formed for Prosecution
"Accident Non Injury, Hit & Run",DR2025-00042,1/6/25 18:30,1/6/25 18:30,PS 1 - Apache,E LEMON ST,No Solvability Factors (Inactive)
Burglary,DR2025-00036,1/6/25 12:34,12/19/24 12:34,,S INNOVATION WAY W,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00038,1/6/25 9:09,1/3/25 17:00,ISTB 2,S MCALLISTER AVE,No Solvability Factors (Inactive)
Trespassing,DR2025-00031,1/5/25 2:00,1/5/25 2:00,Social Sciences Building (SS),S CADY MALL,Cited and Released
Traffic Stop,DR2025-00030,1/5/25 0:07,1/5/25 0:07,,E RIO SALADO PKWY,Cited and Released
Theft,DR2025-00029,1/4/25 12:37,1/2/25 15:00,Life Sciences E-Wing (LSE),E TYLER MALL,Pending Review- At least one solvability factor
Fight,DR2025-00028,1/4/25 0:50,1/4/25 0:50,Centerpoint Tempe,S MILL AVE,Long Formed and Booked
Assault,DR2025-00027,1/4/25 0:47,1/4/25 0:47,UCENT (University Center),N CENTRAL AVE,MCAO - Transmitted
Aggravated Assault,DR2025-00026,1/3/25 23:32,1/3/25 23:32,Health South,N 3RD ST,MCAO - Transmitted
Traffic Stop,DR2025-00025,1/3/25 21:48,1/3/25 21:48,,N 7TH ST,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00023,1/3/25 12:53,12/23/24 14:00,Casa Del Valle (CDV),N 49TH AVE,No Solvability Factors (Inactive)
Recovered Stolen Vehicle,DR2025-00022,1/3/25 5:18,1/3/25 5:18,Circle K - 1st Ave,N 1ST AVE,Long Formed and Booked
Trespassing,DR2025-00020,1/3/25 2:31,1/3/25 2:31,MAS (Mountain America Stadium),E VETERANS WAY,Long Formed and Booked
Traffic Stop,DR2025-00021,1/3/25 2:30,1/3/25 2:30,,S MCALLISTER AVE,Cited and Released
Trespassing,DR2025-00019,1/2/25 21:06,1/2/25 20:25,Sands Classroom & Lecture Hall,N 47TH AVE,Pending Review- At least one solvability factor
Suspicious Person,DR2025-00014,1/2/25 18:24,1/2/25 18:24,,E UNIVERSITY DR,Long Formed for Prosecution
Theft,DR2025-00013,1/2/25 17:42,1/2/25 17:42,TLot 40W,S MCALLISTER AVE,Exceptional- Victim Refused to Cooperate
Traffic Stop,DR2025-00012,1/2/25 13:34,1/2/25 13:34,,44TH ST,Cited and Released
Traffic Stop,DR2025-00009,1/2/25 1:44,1/2/25 1:44,,S POWER RD,Cited and Released
Narcotics,DR2025-00010,1/2/25 1:43,1/2/25 1:43,,N 1ST AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00007,1/1/25 21:54,1/1/25 21:54,Safeway - Broadway,E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00005,1/1/25 18:37,1/1/25 18:37,,S RURAL RD,Long Formed and Booked
Traffic Stop,DR2025-00003,1/1/25 2:35,1/1/25 2:35,Tempe High School,S MILL AVE,Long Formed for Prosecution
Suspicious Person,DR2025-00002,1/1/25 1:28,1/1/25 1:28,Fulton Center,E UNIVERSITY DR,Long Formed for Prosecution
Suspicious Person,DR2025-00001,1/1/25 0:28,1/1/25 0:28,Tooker House,E UNIVERSITY DR,Long Formed for Prosecution