Case Number	Date/Time Reported	Date/Time Occurred	Location	Incident Type	Disposition
P2025-00786	3/24/25 11:21	3/24/25 11:15	Lincoln Tower	Disorderly Conduct	Closed
P2025-00785	3/24/25 10:33	3/24/25 10:00	OSU East Hosptial	Disorderly Conduct	Closed
P2025-00783	3/24/25 8:11	3/23/25 20:38	Mirror Lake Eatery	Menacing	Closed
P2025-00780	3/23/25 19:51	3/22/25 21:00	Morrill Tower	Theft	Closed
P2025-00778	3/23/25 18:50	3/21/25 15:30	Taylor Tower	Theft	Open - Pending Investigation
P2025-00777	3/23/25 6:43	3/23/25 6:29	Doan Hall 	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00776	3/23/25 2:20	3/23/25 2:20	Ohio Union South Garage	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2025-00775	3/23/25 1:34	3/23/25 1:34	South Union Garage	Disorderly Conduct	Closed
P2025-00774	3/22/25 3:02	3/22/25 3:02	Neil Ave. / W. Lane Ave	Riding bicycles or mobility devices on sidewalk	Closed
P2025-00772	3/22/25 0:33	3/22/25 0:33	Morrill Tower	Theft	Open - Arrest
P2025-00773	3/22/25 0:18	3/22/25 0:18	Tuttle Place at Neil Ave	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2025-00769	3/21/25 19:00	3/21/25 19:00	Timashev Family Music Building	Criminal Trespass	Closed
P2025-00766	3/21/25 13:24	3/21/25 13:24	Tuttle Park Place / Woody Hayes Dr.	Street Racing	Closed
CSA2025-00767	3/21/25 12:14	3/18/25 22:30	Lincoln Tower 	Theft	Closed
P2025-00765	3/21/25 11:57	3/21/25 11:57	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00762	3/20/25 22:57	3/20/25 22:57	Morrill Tower	Theft	Closed
P2025-00760	3/20/25 15:11	11/1/24 15:11	Baker Hall - East	Criminal Mischief	Closed
P2025-00758	3/20/25 7:55	3/19/25 20:15	Thompson Library	Criminal Mischief	Closed
P2025-00757	3/19/25 21:42	3/19/25 21:42	East Side of the SAS building	Falsification	Open - Arrest
P2025-00753	3/19/25 19:12	3/19/25 14:00	OSU Wexner Medical Center Emergency Department	Aggravated Menacing	Open - Arrest
P2025-00754	3/19/25 18:44	3/18/25 21:00	Lincoln Tower bike rack	Criminal Damaging/Endangering	Closed
P2025-00752	3/19/25 15:22	3/17/25 12:00	James Cancer Hospital	Theft	Closed
P2025-00751	3/19/25 14:32	3/19/25 2:26	Parks Hall	Telecommunications Harassment	Closed
P2025-00748	3/18/25 23:57	3/18/25 23:57	Emergeny Department - OSU Main	Assault	Closed
P2025-00747	3/18/25 22:41	3/18/25 21:30	Transit Hub	Sexual Imposition	Open - Pending Investigation
CSA2025-00764	3/18/25 19:19	3/18/25 11:00	OSU Medical Center - East Hospital Tower	Theft	CSA Victim Declined to Make Report
P2025-00746	3/18/25 18:08	3/18/25 16:40	Hitchcock Hall	Violate Protection Order or Consent Agreement	Open - Pending Investigation
P2025-00745	3/18/25 17:43	3/8/25 12:00	Busch House bike rack	Theft	Closed
CSA2025-00749	3/18/25 14:58	1/6/25 8:00	OSU Campus 	CSA Report: Stalking	Closed
P2025-00737	3/18/25 13:51	3/17/25 7:00	Barrett House	Theft	Open - Pending Investigation
P2025-00735	3/18/25 11:03	3/13/25 6:45	OSU East Hospital	Criminal Damaging/Endangering	Closed
P2025-00733	3/18/25 2:10	3/18/25 2:10	Arps Garage	Prohibitions	Closed
P2025-00732	3/17/25 22:28	11/27/24 15:00	Pennsylvania Place	Menacing by Stalking	Open - Arrest
P2025-00730	3/17/25 17:25	3/7/25 12:00	Nosker House	Theft	Closed
P2025-00729	3/17/25 9:47	2/23/25 6:00	Houston House	CSA Report: Fondling	CSA Victim Declined to Make Report
P2025-00728	3/17/25 9:05	3/6/25 7:00	Oxley's To Go	Theft	Closed
P2025-00725	3/17/25 1:09	3/17/25 1:09	Emergency Department -OSU East	Assault	Closed
P2025-00724	3/16/25 21:58	3/15/25 12:00	Houston House bike rack	Theft	Unfounded
P2025-00723	3/16/25 18:26	3/16/25 18:26	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00722	3/16/25 18:24	3/16/25 18:24	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00721	3/16/25 17:02	3/13/25 11:00	Harding Hospital 	Menacing	Closed
P2025-00719	3/16/25 14:36	3/16/25 14:36	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00718	3/16/25 12:13	3/16/25 10:00	Morrill Tower	Criminal Damaging/Endangering	Closed
P2025-00715	3/15/25 23:18	3/15/25 23:18	Busch House bike rack	Theft	Closed
P2025-00713	3/15/25 19:57	3/15/25 19:57	Emergency Department - OSU East	Disorderly Conduct	Closed
P2025-00712	3/15/25 12:47	3/15/25 12:47	Park/Stradley Hall	CSA Report: Dating Violence	Closed
P2025-00710	3/14/25 23:49	3/14/25 23:49	OSU East Emergency Department	Disorderly Conduct	Closed
P2025-00709	3/14/25 18:28	3/1/25 12:00	Thompson Library	Graffitism	Closed
P2025-00706	3/14/25 10:36	1/16/25 12:00	Fisher Hall	Theft	Open - Pending Investigation
P2025-00703	3/14/25 4:24	3/14/25 4:20	Morrill Tower bike racks 	Theft	Open - Arrest
P2025-00702	3/14/25 2:44	3/14/25 2:44	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Open - Pending Investigation
P2025-00701	3/14/25 0:39	3/10/25 13:00	Morrill Tower	Telecommunications Fraud	Open - Pending Investigation
P2025-00700	3/13/25 23:19	3/13/25 23:19	Emergency Department - OSU East	Criminal Trespass	Closed
P2025-00699	3/13/25 20:41	3/13/25 20:41	University Square Complex	Criminal Trespass	Closed
P2025-00698	3/13/25 18:46	3/13/25 18:46	OSU East ED	Criminal Trespass	Closed
P2025-00697	3/13/25 16:23	2/25/25 2:45	18th Avenue Library	Menacing by Stalking	Open - Pending Investigation
P2025-00695	3/13/25 14:05	2/15/25 0:01	Carmack Road	Theft	Closed
P2025-00696	3/13/25 13:58	5/1/16 0:00	Wexner Medical Center	Identity Fraud	Open - Pending Investigation
P2025-00694	3/13/25 13:18	3/6/25 8:00	Doan Hall	Theft	Closed
P2025-00693	3/13/25 12:03	3/13/25 12:03	Dodd Hall	Disorderly Conduct	Closed
CSA2025-00708	3/13/25 11:32	2/10/25 0:00	OSU Mecical Center - Doan Hall	Theft	CSA Victim Declined to Make Report
P2025-00692	3/13/25 2:40	3/13/25 2:40	Timashev Family Music Building	Criminal Trespass	Open - Arrest
P2025-00691	3/12/25 23:37	3/12/25 23:20	1972 N. High St.	Arson	Reported to Other Agency
P2025-00690	3/12/25 21:11	3/12/25 21:11	Wexner Medical Center Emergency Department	Possession of Drugs	Closed
P2025-00688	3/12/25 16:56	3/12/25 16:45	Ohio Union	Theft	Open - Pending Investigation
P2025-00684	3/12/25 10:21	3/5/25 17:00	Wexner Center for the Arts	Theft	Closed
P2025-00683	3/12/25 1:50	3/12/25 1:50	Busch House	Riding bicycles or mobility devices on sidewalk	Open - Arrest
P2025-00682	3/11/25 21:44	3/11/25 21:44	Mershon Auditorium	Graffitism	Closed
P2025-00681	3/11/25 19:44	3/11/25 18:20	Harding Hospital	Disorderly Conduct	Unfounded
P2025-00678	3/11/25 16:39	3/11/25 16:39	SafeAuto Garage	Criminal Mischief	Open - Arrest
CSA2025-00677	3/11/25 15:22	1/6/25 8:00	OSU CAMPUS	CSA Report: Stalking	Closed
P2025-00676	3/11/25 14:09	3/11/25 14:07	Newport Music Hall	Disorderly Conduct	Closed
CSA2025-00768	3/11/25 13:34	1/26/25 8:00	University Hospital	CSA Report: Fondling	Closed
P2025-00675	3/11/25 11:16	3/11/25 10:00	OSU East Hospital	Public urination/defecation	Closed
P2025-00671	3/11/25 6:16	3/11/25 6:16	Tzagournis Medical Research Facility	Criminal Trespass	Closed
CSA2025-00673	3/10/25 23:31	3/10/25 22:30	OSU Medical Center - James Cancer Hospital	Theft	CSA Victim Declined to Make Report
CSA2025-00674	3/10/25 23:28	3/10/25 23:04	OSU Medical Center - Rhodes Hall	Theft	CSA Victim Declined to Make Report
P2025-00669	3/10/25 22:15	3/10/25 22:15	Ross Heart Hospital	Criminal Trespass	Closed
P2025-00665	3/10/25 13:37	3/6/25 5:00	Park-Stradley Hall	Telecommunications Harassment	Open - Pending Investigation
P2025-00658	3/10/25 11:30	3/10/25 11:10	BistrOH Cafe	Theft	Open - Arrest
P2025-00657	3/10/25 10:34	3/7/25 15:00	James Cancer Hospital 	Public Indecency	Closed
P2025-00656	3/10/25 10:25	3/10/25 10:25	Baker Hall - West	Telecommunications Harassment	Closed
P2025-00652	3/9/25 8:53	3/9/25 8:53	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00649	3/9/25 3:16	3/9/25 3:16	High St at 1758 N. High St. 	Assault	Open - Arrest
P2025-00650	3/9/25 3:12	3/9/25 3:12	W. 12th and High St.	Disorderly Conduct	Closed
P2025-00646	3/8/25 15:35	3/8/25 15:35	Rhodes Hall	Criminal Trespass	Open - Arrest
P2025-00644	3/8/25 7:53	3/7/25 18:45	OSU Horse Barn	Theft	Open - Pending Investigation
P2025-00643	3/8/25 2:23	3/8/25 2:23	West Stadium Parking LLot	Marijuana Drug Paraphernalia	Open - Arrest
P2025-00642	3/8/25 1:33	3/8/25 1:33	Ohio Union South Garage	Disorderly Conduct	Closed
EXT2025-00648	3/8/25 0:24	3/8/25 0:00	N. 4th St. and E. Maynard Ave.	Criminal Mischief	Closed
P2025-00641	3/7/25 19:23	3/7/25 19:23	Emergency Department - OSU Main	Assault	Open - Arrest
P2025-00640	3/7/25 18:12	3/7/25 13:00	Nosker House	Theft	Open - Pending Investigation
P2025-00639	3/7/25 16:45	3/7/25 9:00	Page Hall bike rack 	Criminal Damaging/Endangering	Closed
P2025-00637	3/7/25 15:32	2/27/25 22:00	Thompson Library	Graffitism	Closed
P2025-00638	3/7/25 14:41	3/4/25 12:00	OSU Campus	Telecommunications Fraud	Open - Pending Investigation
P2025-00635	3/7/25 13:12	3/7/25 13:12	RPAC	Criminal Trespass	Closed
P2025-00633	3/7/25 11:30	3/7/25 10:00	Hitchcock Hall bike rack	Theft	Closed
P2025-00628	3/7/25 4:46	3/7/25 4:46	OSU East Hospital	Assault	CSA Victim Declined to Make Report
P2025-00629	3/7/25 4:21	3/7/25 4:20	Lincoln Tower 	Theft	Open - Arrest
P2025-00627	3/7/25 1:32	3/7/25 1:32	Smith-Steeb Hall	Offenses Involving Underage Persons	Closed
P2025-00626	3/7/25 1:00	3/7/25 1:00	OSU East Emergency Department	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00625	3/6/25 21:53	3/6/25 21:53	Doan Hall lobby	Theft	Closed
P2025-00624	3/6/25 21:47	3/6/25 21:47	OSU Main ED	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00622	3/6/25 19:16	3/4/25 13:45	Arps Garage	Theft	Closed
P2025-00621	3/6/25 17:04	3/4/25 15:30	Arps Garage	Theft	Closed
P2025-00619	3/6/25 15:30	3/6/25 15:05	Annie and John Glenn Ave.	Disorderly Conduct	Open - Pending Investigation
P2025-00618	3/6/25 14:50	3/6/25 14:50	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00615	3/6/25 10:31	3/6/25 10:25	Emergency Department - OSU Main	Disorderly Conduct	Closed
P2025-00614	3/6/25 9:39	1/1/25 8:00	Lincoln Tower	Criminal Mischief	Closed
CSA2025-00661	3/5/25 14:45	3/1/25 0:00	Paterson Hall	Theft	Closed
P2025-00610	3/5/25 13:40	2/22/25 5:00	Houston House	CSA Report: Rape	Closed
P2025-00607	3/5/25 10:53	12/1/24 0:01	Brain & Spine Hospital	Theft	Open - Pending Investigation
P2025-00609	3/5/25 10:50	3/1/25 17:30	Ohio Stadium	Theft	Closed
P2025-00608	3/5/25 10:46	3/5/25 10:15	Jameson Crane Sports Medicine	Criminal Damaging/Endangering	Closed
P2025-00605	3/4/25 23:14	3/4/25 20:30	Fontana Laboratory	Strangulation	Open - Pending Investigation
P2025-00604	3/4/25 20:31	3/4/25 20:31	James Cancer Hospital	Criminal Trespass	Open - Arrest
P2025-00603	3/4/25 18:25	3/4/25 18:25	Panera Bread	Public Indecency	Closed
P2025-00600	3/4/25 16:48	3/4/25 16:48	Rhodes Hall	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00598	3/4/25 15:17	3/4/25 15:07	RPAC	Unauthorized Use of Property	Open - Pending Investigation
P2025-00599	3/4/25 15:06	3/2/25 21:30	Recreation and Physcial Activity Center	Aggravated Assault	Closed
P2025-00597	3/4/25 11:42	3/4/25 11:42	Northwood-High Building	Disorderly Conduct	Closed
P2025-00595	3/4/25 10:29	3/4/25 10:29	E. 15th Ave., Columbus, Ohio 43215	Telecommunications Harassment	Closed
P2025-00594	3/4/25 9:57	3/4/25 9:30	Emergency Department - OSU Main 	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00593	3/4/25 9:04	3/4/25 9:00	OSU East Hospital	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00592	3/4/25 8:17	1/1/25 8:17	OSU campus	Telecommunications Fraud	Open - Pending Investigation
P2025-00590	3/4/25 4:05	3/4/25 2:00	Emergency Department - OSU East	Possession of Drugs	Closed
P2025-00588	3/4/25 0:14	3/4/25 0:14	Baker Systems Engineering	Criminal Trespass	Closed
P2025-00587	3/3/25 22:05	3/3/25 22:05	Ohio Union 	Criminal Trespass	Open - Arrest
P2025-00586	3/3/25 22:03	2/15/25 12:00	Morrill Tower	Theft	Closed
P2025-00585	3/3/25 21:48	3/1/25 23:36	Game Arena - Gateway	Theft	Closed
P2025-00584	3/3/25 21:39	3/1/25 16:30	Blankenship Hall	Theft	Closed
P2025-00583	3/3/25 20:04	3/3/25 20:04	Canfield Hall	Menacing	Closed
P2025-00582	3/3/25 19:57	3/3/25 19:57	Jimmy John's - Gateway	Criminal Trespass	Closed
CSA2025-00662	3/3/25 16:01	2/24/25 0:00	Houston House 	Criminal Mischief	Closed
P2025-00579	3/3/25 15:46	2/22/25 22:30	Park-Stradley Hall	Telecommunications Harassment	Closed
P2025-00580	3/3/25 15:42	3/3/25 15:42	Blankenship Hall	Telecommunications Harassment	Closed
P2025-00578	3/3/25 15:10	3/1/25 19:30	Ohio Union	Criminal Mischief	Closed
CSA2025-00664	3/3/25 13:42	2/26/25 0:00	Worthington Building - Hall Complex	Criminal Mischief	Open - Pending Investigation
P2025-00576	3/3/25 13:26	3/3/25 13:26	McDonalds	Theft	Closed
CSA2025-00666	3/3/25 12:38	3/2/25 11:45	Lincoln Tower	Theft	Closed
P2025-00575	3/3/25 11:59	3/3/25 10:00	Lincoln Tower	Telecommunications Harassment	Closed
P2025-00573	3/3/25 11:24	2/28/25 18:45	Timashev Family Music Building	Theft	Closed
CSA2025-00744	3/3/25 9:00	2/25/25 0:00	Alpha Epsilon Phi Chapter House	CSA Report: Hazing	Closed
P2025-00572	3/3/25 8:58	3/3/25 8:50	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00571	3/3/25 8:04	6/10/24 8:00	Cunz Hall	Theft	Open - Pending Investigation
P2025-00569	3/3/25 7:26	2/27/25 19:55	Thompson Library	Criminal Damaging/Endangering	Closed
P2025-00568	3/3/25 5:24	3/3/25 5:24	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00567	3/3/25 0:36	3/2/25 0:00	Wexner Center for the Arts	Receiving Stolen Property	Reported to Other Agency
P2025-00565	3/2/25 17:50	3/2/25 17:50	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00566	3/2/25 17:44	3/1/25 20:30	Taylor Tower bike rack	Theft	Closed
P2025-00564	3/2/25 16:03	3/2/25 15:48	Smith-Steeb Hall	Criminal Trespass	Closed
P2025-00563	3/2/25 4:58	3/2/25 4:58	W Lane Ave and N High St	Possessing Criminal Tools	Open - Arrest
P2025-00562	3/2/25 2:54	3/2/25 2:54	Jones Tower	Criminal Trespass	Closed
P2025-00561	3/2/25 2:18	3/2/25 2:18	Ohio Union North Parking Garage	Disorderly Conduct	Closed - Arrest
P2025-00560	3/2/25 1:27	3/2/25 1:27	E 15th Ave. / Pearl Alley	Assault	Open - Pending Investigation
P2025-00559	3/2/25 0:51	3/2/25 0:51	W 11th Ave at Worthington St	Disorderly Conduct	Closed
P2025-00558	3/1/25 18:35	3/1/25 18:35	Emergency Department - East Hospital	Possession of Drugs	Closed
P2025-00557	3/1/25 18:19	3/1/25 18:19	Emergency Department - East Hospital	Possession of Drugs	Closed
P2025-00556	3/1/25 17:39	3/1/25 17:39	Dave's Hot Chicken	Disorderly Conduct	Closed
P2025-00555	3/1/25 12:16	3/1/25 10:00	OSU East Hospital	Warrant Arrest	Open - Arrest
P2025-00554	3/1/25 4:37	3/1/25 4:37	Lincoln Lot	Receiving Stolen Property	Open - Pending Investigation
P2025-00552	3/1/25 1:36	3/1/25 1:36	Norton House	Disorderly Conduct	Closed
P2025-00549	2/28/25 22:08	2/28/25 22:08	Raney House	Prohibitions	Closed
P2025-00550	2/28/25 21:59	2/28/25 21:59	Ross Heart Hospital	Disorderly Conduct	Reported to Other Agency
P2025-00548	2/28/25 14:46	2/25/25 10:00	Biological Sciences Building	Telecommunications Harassment	Closed
P2025-00545	2/28/25 12:22	2/28/25 12:22	Lennox Town Center	Criminal Trespass	Closed
P2025-00544	2/28/25 11:49	2/27/25 19:00	Oxley's to Go	Graffitism	Closed
P2025-00541	2/28/25 3:01	2/28/25 3:01	James Outpatient Care at Carmenton	Disorderly Conduct	Closed
P2025-00539	2/27/25 21:46	2/25/25 22:40	University Square Complex	Graffitism	Closed
P2025-00537	2/27/25 16:13	2/27/25 16:13	OSU Main Emergency Dept	Drug Paraphernalia	Closed
CSA2025-00532	2/27/25 13:21	2/22/25 23:00	Houston House	CSA Report: Fondling	Closed
P2025-00530	2/27/25 12:45	2/27/25 12:45	Barnes and Noble 	Theft	Closed
P2025-00528	2/27/25 12:25	2/27/25 12:15	BistrOH Cafe	Theft	Open - Pending Investigation
CSA2025-00529	2/27/25 11:32	8/13/24 8:00	Houston House 	CSA Report: Dating Violence	Closed
P2025-00526	2/27/25 10:04	2/26/25 17:00	RPAC	Telecommunications Harassment	Open - Arrest
P2025-00524	2/27/25 8:26	2/27/25 8:26	Buckeye Village Community Center	Disorderly Conduct	Closed
P2025-00520	2/26/25 13:54	8/1/24 12:00	Gateway C	Theft	Unfounded
P2025-00519	2/26/25 11:21	2/25/25 14:00	Baker Hall West bike racks 	Theft	Closed
P2025-00516	2/26/25 8:32	2/17/25 1:38	OSU Main Oval	Menacing by Stalking	Closed
P2025-00510	2/25/25 13:05	2/21/25 9:32	Haverfield House	Theft	Closed
P2025-00509	2/25/25 11:26	2/24/25 23:00	RPAC Recreation and Physical Activity Center	Theft	Closed
P2025-00508	2/25/25 11:01	2/25/25 11:01	Martha Morehouse Pavilion	Theft	Closed
P2025-00507	2/25/25 6:50	2/24/25 11:30	Morrill Tower	Aggravated Menacing	Closed
P2025-00505	2/24/25 18:07	2/23/25 2:00	Bowen House	Telecommunications Harassment	Closed
P2025-00500	2/24/25 10:07	2/22/25 14:37	Blankenship Hall	CSA Report: Stalking	Closed
CSA2025-00534	2/24/25 1:21	2/23/25 3:00	Morrill Tower 	Theft	Closed
P2025-00497	2/23/25 22:25	10/26/24 12:00	Ohio Stadium	Assault	Closed
P2025-00496	2/23/25 19:25	2/19/25 3:30	Smith-Steeb Hall	Theft	Open - Arrest
P2025-00495	2/23/25 17:22	2/22/25 17:00	Raney House	Telecommunications Harassment	Closed
P2025-00492	2/23/25 13:36	2/23/25 13:36	Emergency Department - OSU East	Criminal Trespass	Closed
P2025-00493	2/23/25 13:33	2/23/25 13:33	Schottenstein Center	Criminal Trespass	Closed
P2025-00494	2/23/25 13:10	2/23/25 13:10	Schottenstein Center (0081)	Disorderly Conduct	Closed
P2025-00491	2/23/25 12:46	2/23/25 12:46	Morrill Tower	Theft	Closed
P2025-00490	2/23/25 11:18	1/8/25 19:30	The Wellington	Telecommunications Harassment	Closed
P2025-00489	2/23/25 4:33	2/23/25 4:33	Jones Tower	Theft	Closed
P2025-00488	2/23/25 4:22	2/23/25 4:22	Morrill Tower	Offenses Involving Underage Persons	Closed
P2025-00486	2/23/25 3:15	2/23/25 3:15	Siebert Hall 	Offenses Involving Underage Persons	Closed
P2025-00487	2/23/25 3:12	2/23/25 3:12	Jones Tower	Offenses Involving Underage Persons	Closed
P2025-00482	2/23/25 2:17	2/23/25 2:17	Ohio Union South Garage	Disorderly Conduct	Open - Arrest
P2025-00483	2/23/25 1:58	2/23/25 1:58	Ohio Union South Garage	Disorderly Conduct	Closed - Arrest
P2025-00481	2/22/25 23:48	2/22/25 23:48	Morrill Tower	Disorderly Conduct	Closed
P2025-00477	2/22/25 14:10	2/21/25 19:00	Waterman Farms	Criminal Trespass	Closed
P2025-00476	2/22/25 11:58	2/21/25 12:29	Wexner Medical Center	Theft	Open - Arrest
P2025-00475	2/22/25 10:29	2/22/25 10:29	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00474	2/22/25 4:38	2/22/25 1:40	Blackwell Inn	Criminal Mischief	Closed
CSA2025-00535	2/22/25 3:23	2/22/25 2:00	Park-Stradley Hall  - Drop Off Area	Theft	Closed
P2025-00473	2/21/25 22:02	2/21/25 22:02	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
CSA2025-00536	2/21/25 16:13	2/19/25 16:00	Lincoln Tower	Criminal Mischief	Closed
CSA2025-00743	2/21/25 12:31	2/21/25 0:00	Alpha Gamma Delta 	CSA Report: Hazing	Closed
P2025-00467	2/21/25 9:59	2/7/25 13:50	Traditions at Scott	Theft	Open - Arrest
P2025-00466	2/21/25 9:47	2/21/25 9:35	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00465	2/21/25 9:34	2/21/25 9:34	Davis Heart and Lung	Disorderly Conduct	Closed
P2025-00464	2/21/25 3:00	2/21/25 3:00	Busch House	Criminal Damaging/Endangering	Open - Arrest
P2025-00463	2/21/25 1:45	2/21/25 1:45	Houston House	Offenses Involving Underage Persons	Closed
P2025-00462	2/20/25 23:14	2/20/25 23:14	Morrison Tower	Offenses Involving Underage Persons	Closed
P2025-00460	2/20/25 17:39	2/20/25 17:30	Emergency Department - Main Hospital	Disorderly Conduct	Closed
P2025-00458	2/20/25 16:54	2/20/25 16:54	East Hospital	Aggravated Menacing	Closed
P2025-00459	2/20/25 16:42	2/19/25 12:00	Harding Hospital	Misuse of Credit Card	Closed
P2025-00457	2/20/25 15:42	2/20/25 15:42	Ohio Union	Criminal Trespass	Closed
P2025-00456	2/20/25 14:00	2/20/25 12:30	Student Academic Services	Inducing Panic	Open - Pending Investigation
P2025-00454	2/20/25 13:15	1/21/25 12:00	McCampbell Hall	Theft	Closed
P2025-00453	2/20/25 12:22	2/10/25 15:35	Martha Morehouse Medical Plaza	Theft	Closed
P2025-00452	2/20/25 11:43	2/20/25 11:43	Fyffe Rd.	Criminal Mischief	Closed
P2025-00449	2/19/25 21:51	2/19/25 21:51	Emergency Department - OSU East	Assault	Closed
P2025-00448	2/19/25 21:37	2/19/25 21:37	Ohio Union	Criminal Trespass	Open - Arrest
P2025-00447	2/19/25 21:36	2/19/25 21:36	College Rd.	Disorderly Conduct	Closed
P2025-00445	2/19/25 17:03	2/19/25 16:15	Martha Morehouse Medical Plaza - Pavilion 	Criminal Trespass	Open - Arrest
P2025-00446	2/19/25 16:00	2/10/25 0:00	Pennsylvania Place Dorm	Theft	Closed
P2025-00444	2/19/25 15:53	2/19/25 15:53	Cogeneration Plant	Theft	Open - Pending Investigation
