Case Number	Date/Time Reported	Date/Time Occurred	Location	Incident Type	Disposition
P2025-00443	2/19/25 14:59	2/19/25 14:59	Wexner Medical Center Garage	Obstructing Official Business	Open - Arrest
P2025-00441	2/19/25 9:22	2/19/25 8:22	Fisher Commons	Criminal Trespass	Closed
P2025-00439	2/19/25 2:00	2/19/25 2:00	OSU East Emergency Department	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00437	2/18/25 18:50	2/18/25 18:50	Page Hall	Criminal Trespass	Closed
P2025-00435	2/18/25 6:20	2/18/25 6:20	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00434	2/18/25 5:40	2/18/25 5:40	Hospital Security Office	Telecommunications Harassment	Closed
CSA2025-00440	2/18/25 1:53	2/15/25 3:00	Drackett Tower 	Menacing by Stalking	Closed
P2025-00433	2/17/25 19:27	2/17/25 17:20	Doan Hall	Theft	Closed
P2025-00431	2/17/25 9:28	1/7/25 9:30	Norton House	Telecommunications Fraud	Closed
P2025-00430	2/17/25 9:18	2/16/25 13:00	German House	Criminal Damaging/Endangering	Closed
P2025-00429	2/17/25 8:40	1/5/25 0:01	OSU Campus, Columbus	CSA Report: Rape	CSA Victim Declined to Make Report
P2025-00427	2/17/25 7:11	2/17/25 5:05	237 E. 17th Ave. 	Criminal Damaging/Endangering	Closed
P2025-00428	2/16/25 23:14	2/16/25 23:14	Ohio Union	Criminal Trespass	Closed
P2025-00421	2/16/25 13:41	2/16/25 13:41	Emergency Department - OSU East	Criminal Trespass	Open - Arrest
P2025-00420	2/16/25 11:44	2/16/25 11:44	James Cancer Hospital	Theft	Open - Arrest
P2025-00419	2/15/25 20:24	2/15/25 12:00	Ohio Union	Theft	Unfounded
P2025-00417	2/15/25 14:43	2/15/25 14:43	OSU Main Emergency Department	Disorderly Conduct	Closed
P2025-00415	2/15/25 14:14	2/15/25 14:00	Harding Hospital	Assault	Open - Arrest
P2025-00414	2/15/25 9:03	2/15/25 8:48	University Square North 	Disorderly Conduct	Closed
P2025-00413	2/15/25 6:04	2/15/25 6:04	Emergency Department - OSU East	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00412	2/15/25 5:18	2/15/25 5:18	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00411	2/15/25 4:36	2/15/25 4:36	Smith-Steeb Hall	Offenses Involving Underage Persons	Closed
P2025-00410	2/15/25 4:12	2/15/25 4:12	Torres House	Prohibitions	Open - Arrest
P2025-00409	2/15/25 1:47	2/15/25 1:47	Drackett Tower	Disorderly Conduct	Closed
P2025-00408	2/15/25 0:47	2/15/25 0:47	Busch House	Prohibitions	Closed
P2025-00407	2/14/25 23:55	2/14/25 23:55	Drackett Tower	Offenses Involving Underage Persons	Closed
P2025-00405	2/14/25 18:06	2/14/25 18:06	OSU Main Emergency Department	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00403	2/14/25 14:12	2/14/25 13:25	James Cancer Hospital	Public Indecency	CSA Victim Declined to Make Report
P2025-00402	2/14/25 10:39	2/14/25 10:39	ON CAMPUS - UNKNOWN LOCATION	CSA Report: Rape	CSA Victim Declined to Make Report
P2025-00401	2/14/25 10:39	2/14/25 10:39	On Campus - Unknown Location	CSA Report: Rape	CSA Victim Declined to Make Report
P2025-00400	2/14/25 10:39	10/1/24 0:01	Fraternty House	CSA Report: Rape	CSA Victim Declined to Make Report
P2025-00399	2/14/25 10:32	2/13/25 23:00	Emergency Department - OSU Main	Theft	Closed
P2025-00397	2/14/25 10:21	2/13/25 7:00	Taylor Tower bike rack	Theft	Unfounded
P2025-00396	2/14/25 9:51	2/14/25 9:51	Brain and Spine Hospital	Graffitism	Closed
P2025-00395	2/14/25 9:30	2/14/25 9:30	OSU Carepoint East	Assault	Closed
P2025-00393	2/14/25 8:17	2/14/25 7:45	Harding Hospital	Assault	Closed
P2025-00392	2/14/25 7:11	2/13/25 23:55	Doan Hall	Assault	CSA Victim Declined to Make Report
P2025-00390	2/14/25 4:03	2/14/25 3:50	Harding Hospital	Assault	Closed
P2025-00389	2/14/25 1:38	2/13/25 22:56	Unknown Campus 	CSA Report: Fondling	Unfounded
P2025-00388	2/14/25 0:04	2/12/25 3:58	Emergency Department - OSU Main	Menacing	Closed
P2025-00387	2/13/25 22:56	2/13/25 22:56	Smashburger - N HIGH ST	Warrant Arrest	Closed
P2025-00386	2/13/25 22:05	2/13/25 22:05	N High St	CSA Report: Motor Vehicle Theft	Reported to Other Agency
P2025-00385	2/13/25 18:31	2/13/25 18:31	Harding Hospital	Assault	Open - Arrest
P2025-00384	2/13/25 15:35	2/13/25 6:30	Old Cannon Garage	Theft	Closed
P2025-00382	2/13/25 14:40	2/13/25 12:15	Brain & Spine Hospital	CSA Report: Domestic Violence	CSA Victim Declined to Make Report
P2025-00383	2/13/25 13:43	10/1/24 0:01	Timashev Familu Music Building	Theft	Closed
P2025-00381	2/13/25 13:18	2/13/25 13:16	Ohio Union	Aggravated Burglary  inflict harm	Open - Arrest
P2025-00380	2/13/25 13:05	2/5/25 9:30	Wetlands	Theft	Closed
P2025-00378	2/13/25 2:25	2/13/25 2:25	Siebert Hall	Prohibitions	Closed
P2025-00376	2/12/25 17:12	2/8/25 16:15	Covelli Center	Theft	Closed
P2025-00375	2/12/25 16:52	2/12/25 16:50	OSU Main Emergency Department	Assault	Open - Arrest
P2025-00373	2/12/25 12:51	2/11/25 13:50	Traditions at Scott	Theft	Closed
P2025-00372	2/12/25 11:05	2/12/25 10:50	Rhodes Hall	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00371	2/12/25 10:27	2/12/25 10:20	OSU East Hospital	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00370	2/12/25 5:41	2/12/25 5:41	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00368	2/11/25 19:18	2/11/25 19:18	Harding Hospital	Possession of Drugs	Closed
P2025-00367	2/11/25 17:49	2/11/25 17:27	700 ACKERMAN RD	Telecommunications Harassment	Open - Pending Investigation
P2025-00366	2/11/25 14:04	2/11/25 13:29	Barnes & Noble at OSU	Receiving Stolen Property	Closed
P2025-00365	2/11/25 12:25	2/10/25 21:00	Lawrence Tower	Theft	Closed
P2025-00364	2/11/25 3:07	2/11/25 3:07	Emergency Department - OSU East	Drug Paraphernalia	Closed
CSA2025-00742	2/11/25 0:27	2/1/25 1:00	Delta Sigma Theta 	CSA Report: Hazing	Closed
P2025-00363	2/11/25 0:08	2/10/25 22:00	Residence On Tenth	Telecommunications Harassment	Closed
P2025-00362	2/10/25 21:58	2/10/25 21:58	Emergency Department OSU- EAST	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00361	2/10/25 15:29	2/10/25 15:29	Ohio Union	Criminal Trespass	Closed
P2025-00358	2/10/25 11:54	1/23/25 23:00	Blackburn House	Burglary	Closed
P2025-00355	2/9/25 20:16	2/9/25 20:16	East Hospital	Possession of Drugs	Open - Pending Investigation
P2025-00354	2/9/25 14:47	2/8/25 17:00	Parkling Lot W	Criminal Damaging/Endangering	Closed
P2025-00352	2/9/25 13:41	2/9/25 13:22	The Marketplace on Neil 	Theft	Closed
P2025-00351	2/9/25 2:18	2/9/25 2:18	Pomerene Hall	Criminal Trespass	Closed
P2025-00350	2/8/25 23:05	2/8/25 23:37	Lincoln Tower	Theft	Closed
P2025-00349	2/8/25 21:10	2/8/25 20:30	Adriatico's New York Style Pizza (parking lot east of)	CSA Report: Motor Vehicle Theft	Reported to Other Agency
P2025-00348	2/8/25 20:26	2/8/25 9:30	Keenan Center bike rack	Theft	Closed
P2025-00346	2/8/25 20:19	2/8/25 20:19	Houston House	Criminal Trespass	Open - Arrest
P2025-00347	2/8/25 19:09	2/8/25 18:30	Keenan center bike racks 	Theft	Closed
P2025-00345	2/8/25 18:44	2/8/25 18:44	Emergency Department - OSU Main	Criminal Trespass	Open - Arrest
P2025-00344	2/8/25 17:03	2/3/25 19:00	James Cancer Hospital	Sexual Imposition	Reported to Other Agency
P2025-00343	2/8/25 13:15	2/8/25 13:15	Main ED	CSA Report: Rape	Closed
P2025-00342	2/8/25 4:18	2/8/25 1:00	Baker Hall - West	Prohibitions	Closed
CSA2025-00360	2/7/25 19:18	2/7/25 18:53	Lincoln Tower	Receiving Stolen Property	Closed
P2025-00340	2/7/25 15:26	2/7/25 15:15	Harding Hospital	Disorderly Conduct	Open - Arrest
P2025-00338	2/7/25 12:50	2/7/25 12:50	Ohio Union	Criminal Trespass	Open - Arrest
P2025-00337	2/7/25 10:14	1/31/25 13:00	Hayes Hall	Theft	Closed
P2025-00335	2/7/25 9:32	2/6/25 13:00	WOSU	Telecommunications Harassment	Closed
P2025-00336	2/7/25 6:57	2/4/25 16:00	Emergency Department - OSU Main	Theft	Unfounded
P2025-00333	2/7/25 4:17	2/7/25 4:17	OSU Main Emergency Department	Criminal Trespass	Closed
P2025-00331	2/7/25 2:32	2/7/25 2:15	Jones Tower	Prohibitions	Open - Pending Investigation
P2025-00330	2/6/25 23:12	2/6/25 23:12	Blackburn House	Offenses Involving Underage Persons	Closed
P2025-00329	2/6/25 17:51	2/3/25 10:30	Park-Stradley bike racks 	Theft	Closed
P2025-00328	2/6/25 17:10	2/6/25 17:10	James Cancer Hospital 	Criminal Trespass	Closed
P2025-00327	2/6/25 15:16	1/28/25 20:05	Drackett Tower	Theft	Closed
P2025-00323	2/6/25 4:31	2/6/25 4:31	Morrill Tower	Assault	Open - Arrest
P2025-00322	2/5/25 23:27	2/5/25 18:00	Telecommunications Network Center	Criminal Damaging/Endangering	Closed
P2025-00321	2/5/25 21:10	2/5/25 21:00	Doan Hall	Assault	Closed
CSA2025-00326	2/5/25 21:06	2/5/25 19:15	Drackett Tower	Disorderly Conduct	Closed
P2025-00319	2/5/25 18:29	2/5/25 18:29	University Square South	Receiving Stolen Property	Unfounded
P2025-00318	2/5/25 17:52	1/24/25 2:40	Fontana Lab	Theft	Closed
P2025-00317	2/5/25 12:53	1/24/25 12:00	Halloran House	Telecommunications Fraud	Closed
P2025-00315	2/5/25 12:25	2/5/25 11:40	RPAC	Aggravated Menacing	Closed
P2025-00314	2/5/25 11:22	2/5/25 11:22	Ohio Union	Criminal Trespass	Open - Arrest
P2025-00313	2/5/25 10:10	2/5/25 9:50	Harding Hospital	Disorderly Conduct	Closed
P2025-00309	2/4/25 18:52	2/4/25 18:52	Harding Hospital 	Sexual Imposition	Open - Arrest
P2025-00308	2/4/25 17:46	2/4/25 17:46	Emergency Department - OSU East	Criminal Trespass	Open - Arrest
P2025-00307	2/4/25 17:44	2/3/25 19:42	Taylor Tower	Theft	Closed
P2025-00306	2/4/25 17:01	2/4/25 15:15	Gerlach Hall	Theft	Closed
P2025-00302	2/4/25 8:37	2/3/25 23:59	Physics Research Buiding	Vandalism	Closed
P2025-00301	2/4/25 7:17	2/4/25 7:17	Denney Hall	Criminal Trespass	Closed
P2025-00300	2/3/25 23:04	2/3/25 22:51	Drinko Hall (Parking Lot)	Theft	Closed
P2025-00299	2/3/25 20:19	2/3/25 20:19	Hitchcock Hall	Disorderly Conduct	Closed
P2025-00298	2/3/25 19:09	2/3/25 19:09	Lincoln Turf Lots	Menacing	Closed
CSA2025-00294	2/3/25 14:16	2/3/25 14:16	Busch House 	Disorderly Conduct	Closed
P2025-00288	2/3/25 7:51	2/3/25 7:51	Ross Heart Hospital 	Menacing	Closed
P2025-00287	2/2/25 22:41	1/30/25 11:30	Archer House	Theft	Closed
P2025-00286	2/2/25 18:12	2/2/25 18:10	Annie and John Glenn Ave.	Disorderly Conduct	Open - Arrest
P2025-00285	2/2/25 17:14	2/2/25 17:14	Sawmill Rd (wooded area) - Near Airport	Criminal Trespass	Closed
P2025-00284	2/2/25 17:02	2/2/25 17:02	Pomerene Hall	Criminal Trespass	Closed
P2025-00282	2/2/25 11:09	2/2/25 11:09	9th Ave. parking garage	Carrying Concealed Weapons	Closed
P2025-00281	2/2/25 4:07	2/2/25 4:07	Emergency Department OSU Main	Possession of Drugs	Closed
P2025-00280	2/2/25 2:41	2/2/25 2:41	Raney House	Offenses Involving Underage Persons	Closed
P2025-00279	2/2/25 2:32	2/2/25 2:32	Park - Stradley Hall	Offenses Involving Underage Persons	Closed
P2025-00278	2/2/25 2:15	2/2/25 2:15	Nosker House	Disorderly Conduct	Closed
P2025-00277	2/2/25 1:09	2/2/25 1:09	Neil Building	Warrant Arrest	Open - Arrest
P2025-00275	2/1/25 23:21	2/1/25 23:21	Morrison Tower	Disorderly Conduct	Closed - Arrest
P2025-00274	2/1/25 18:20	2/1/25 13:00	Cazuelas	Theft	Closed
P2025-00272	2/1/25 8:11	2/1/25 8:00	OSU East Hospital	Disorderly Conduct	Closed
CSA2025-00291	2/1/25 6:38	1/31/25 4:00	Morrill Tower	Criminal Mischief	Closed
P2025-00271	2/1/25 6:04	2/1/25 5:45	Wexner Medical Garage	Public urination/defecation	Open - Arrest
P2025-00270	2/1/25 4:23	2/1/25 5:00	Emergency Department - OSU East	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00269	2/1/25 4:23	2/1/25 4:23	Emergency Department - OSU East	Possession of Drugs	Open - Pending Investigation
P2025-00267	1/31/25 21:40	1/31/25 21:40	12th Avenue Parking Garage	Disorderly Conduct	Closed
CSA2025-00292	1/31/25 17:59	1/30/25 12:00	Archer House 	Theft	Closed
P2025-00264	1/31/25 16:09	1/31/25 16:09	Harding Hospital	Disorderly Conduct	Closed
P2025-00263	1/31/25 15:37	1/14/25 14:11	Baker Hall- East 	Theft	Closed
CSA2025-00293	1/31/25 14:36	2/13/24 1:00	Columbus Campus	Sexual Imposition	Closed
P2025-00262	1/31/25 12:41	1/30/25 14:45	OSU East Hospital	Theft	Closed
P2025-00261	1/31/25 7:32	1/28/25 16:00	Timashev Family Music Building	Theft	Closed
P2025-00260	1/31/25 4:59	1/31/25 4:59	SafeAuto Parking Garage	Warrant Arrest	Closed - Arrest
P2025-00257	1/30/25 19:30	1/30/25 8:15	Wiseman Hall bike rack	Theft	Closed
P2025-00256	1/30/25 18:49	1/30/25 18:49	Park-Stradley Hall	CSA Report: Rape	Closed
CSA2025-00254	1/30/25 15:47	1/19/25 12:00	Pomerene Hall	CSA Report: Stalking	Closed
P2025-00248	1/30/25 12:16	1/29/25 11:23	Baker Hall West	Theft	Closed
P2025-00247	1/30/25 9:44	1/30/25 9:20	Doan Hall	Disorderly Conduct	Closed
P2025-00246	1/30/25 2:57	1/30/25 2:57	Kinnear Lot	Illegal Use or Possession of Drug Paraphernalia	Open - Arrest
P2025-00245	1/29/25 21:54	1/29/25 21:54	610 Ackerman Road 	Disorderly Conduct	Closed
P2025-00243	1/29/25 20:35	1/29/25 20:35	Ohio Union	Receiving Stolen Property	Open - Arrest
P2025-00240	1/29/25 18:15	1/29/25 18:15	Harding Hospital	Assault	Open - Arrest
P2025-00242	1/29/25 18:04	1/29/25 18:04	WOSU loading dock	Public urination/defecation	Closed
P2025-00244	1/29/25 16:24	1/29/25 16:24	Ohio Union	Criminal Trespass	Open - Arrest
P2025-00239	1/29/25 7:46	1/26/25 19:00	Gateway Garage 	Theft	Open - Pending Investigation
P2025-00235	1/28/25 16:25	1/16/25 21:00	Center for Automotive	Theft	Unfounded
P2025-00233	1/28/25 13:15	1/26/25 22:00	Gateway Garage	Theft	Open - Pending Investigation
P2025-00232	1/28/25 13:06	4/17/24 0:00	Fry Hall	Telecommunications Fraud	Open - Pending Investigation
CSA2025-00231	1/28/25 12:21	1/27/25 0:00	337 ANNIE AND JOHN GLENN AVE - Dining Hall	CSA Report: Fondling	Closed
P2025-00227	1/28/25 9:25	1/27/25 19:00	Gateway Garage	Criminal Damaging/Endangering	Open - Pending Investigation
CSA2025-00228	1/28/25 8:57	1/21/25 9:00	Columbus campus dining hall	CSA Report: Fondling	Closed
P2025-00225	1/27/25 22:31	1/27/25 22:15	East Hospital - Main	Possession of Drugs	Closed
P2025-00223	1/27/25 19:56	1/27/25 19:56	Jameson Crane Sports medicine Institute	Assault	Open - Arrest
P2025-00222	1/27/25 17:37	1/27/25 17:37	Barrett House	Criminal Trespass	Open - Arrest
P2025-00219	1/27/25 16:10	1/27/25 15:55	Doan Hall	Criminal Trespass	Closed
CSA2025-00234	1/27/25 14:07	1/28/25 14:07	Smith-Steeb Hall 	CSA Report: Rape	Closed
P2025-00217	1/27/25 13:37	1/27/25 13:32	OSU East Hospital	Possessing Drug Abuse Instruments	Closed
P2025-00216	1/27/25 12:32	10/31/24 12:32	Optometry Clinc	Theft	Open - Pending Investigation
P2025-00215	1/27/25 11:32	1/27/25 11:27	OSU East Hospital	Possession of Drugs	Closed
CSA2025-00214	1/27/25 7:57	1/24/25 0:08	Beta Theta Pi - Parking lot	Theft	Closed
P2025-00212	1/26/25 22:12	1/21/25 13:00	Dodd Hall	Theft	Open - Pending Investigation
P2025-00210	1/26/25 17:39	1/26/25 17:39	Ohio Union	Disorderly Conduct	Closed
P2025-00209	1/26/25 15:33	1/26/25 15:20	Barnes and Noble	Theft	Open - Pending Investigation
P2025-00204	1/26/25 3:25	1/26/25 3:25	Morrill Tower	Disorderly Conduct	Closed
P2025-00203	1/26/25 0:58	1/26/25 0:17	Drackett Tower	Theft	Closed
P2025-00201	1/25/25 21:00	1/25/25 21:00	Emergency Department - OSU Main	Drug Paraphernalia	Closed
P2025-00200	1/25/25 20:43	1/24/25 22:00	OSU Main Emergency Department 	Theft	Closed
P2025-00199	1/25/25 19:59	1/25/25 19:20	Harding Hospital	Sexual Imposition	Open - Pending Investigation
P2025-00196	1/25/25 15:29	1/25/25 0:00	RPAC Recreation and Physical Activity Center	Theft	Unfounded
P2025-00194	1/25/25 3:00	1/25/25 3:00	OSU Wexner Center Emergency Department	Criminal Trespass	Closed
P2025-00193	1/25/25 0:26	1/25/25 0:26	Morrison Tower	Offenses Involving Underage Persons	Closed
P2025-00192	1/24/25 19:46	1/18/25 20:13	Taylor Tower	Theft	Unfounded
P2025-00190	1/24/25 16:21	12/31/24 0:00	Martha Morehouse Medical Plaza 	Telecommunications Fraud	Open - Pending Investigation
P2025-00189	1/24/25 15:38	1/3/25 12:00	Fisher Hall	Theft	Closed
P2025-00191	1/24/25 14:52	1/20/25 0:00	Lincoln Tower	Theft	Open - Pending Investigation
P2025-00187	1/24/25 14:04	1/10/25 15:00	Ramseyer Hall	Theft	Closed
P2025-00186	1/24/25 12:54	12/30/24 10:54	Younkin Success Center	Telecommunications Harassment	Closed
P2025-00184	1/24/25 6:46	1/24/25 6:46	Torres House	Criminal Trespass	Closed
P2025-00183	1/24/25 0:51	1/24/25 0:51	Graves Hall	Criminal Trespass	Open - Arrest
P2025-00182	1/24/25 0:20	1/24/25 0:20	Mirror Lake	Criminal Trespass	Open - Arrest
P2025-00178	1/23/25 13:06	1/23/25 12:32	Brain and Spine Hospital	Disorderly Conduct	Closed
EXT2025-00188	1/23/25 12:16	1/20/25 2:00	E 15TH AVE	Arson	Closed
P2025-00171	1/22/25 21:24	1/22/25 21:24	Timashev Family Music Building 	Criminal Trespass	Open - Arrest
P2025-00168	1/22/25 15:10	1/22/25 15:10	Barnes & Noble at OSU	Menacing	Open - Arrest
P2025-00165	1/21/25 20:55	1/21/25 20:55	Timashev Family Music Building	Criminal Trespass	Closed
P2025-00161	1/21/25 8:02	1/21/25 7:40	OSU Carepoint East	Assault	Open - Pending Investigation
P2025-00160	1/21/25 2:20	1/21/25 2:20	North High St. and E 14th Ave	Theft	Open - Pending Investigation
P2025-00157	1/20/25 18:34	1/20/25 18:34	Mirror Lake	Criminal Trespass	Open - Arrest
P2025-00158	1/20/25 17:05	1/20/25 17:05	18th Avenue Library	Possession of Drugs	Open - Pending Investigation
P2025-00155	1/20/25 14:25	1/20/25 14:25	Harding Hospital	Assault	Closed
P2025-00154	1/20/25 11:40	1/20/25 11:23	Emergency Department - OSU Main	Assault	Open - Arrest
CSA2025-00173	1/20/25 10:04	1/20/25 3:00	Paterson Hall 	Criminal Mischief	Closed
P2025-00150	1/19/25 20:36	1/19/25 0:00	Unknown Location in Columbus	CSA Report: Rape	Closed
CSA2025-00164	1/19/25 20:16	1/6/25 8:00	Unknown Dorm	CSA Report: Rape	Closed
P2025-00148	1/19/25 13:59	1/19/25 13:45	Covelli Center	Disorderly Conduct	Closed
P2025-00147	1/19/25 2:42	1/19/25 2:42	Bowen House	Criminal Trespass	Open - Arrest
P2025-00145	1/18/25 20:19	1/18/25 20:19	Main Emergency Department 	Criminal Trespass	Closed
P2025-00144	1/18/25 17:07	1/18/25 17:07	Thompson Library 	Telecommunications Fraud	Open - Pending Investigation
P2025-00143	1/18/25 13:34	1/18/25 13:34	Chipolte N High Street	Disorderly Conduct	Closed
P2025-00141	1/18/25 1:00	1/18/25 1:00	Morrill Tower	Offenses Involving Underage Persons	Closed
P2025-00140	1/17/25 21:20	1/17/25 9:38	Genhis Grill	Theft	Closed
P2025-00139	1/17/25 17:53	1/17/25 17:53	Timashev Family Music Building	Criminal Trespass	Open - Arrest
P2025-00138	1/17/25 17:35	1/14/25 8:30	670 ACKERMAN RD	Misuse of Credit Card	Open - Pending Investigation
CSA2025-00174	1/17/25 14:55	1/17/25 12:00	Houston House 	Theft	Closed
P2025-00137	1/17/25 14:53	1/16/25 18:00	Worthington Building	Menacing	Closed
P2025-00135	1/17/25 2:57	1/17/25 2:57	East Hospital - Main	Possession of Drugs	Closed
P2025-00134	1/16/25 23:23	1/16/25 23:23	Jones Tower	Disorderly Conduct	Closed
P2025-00133	1/16/25 22:07	1/16/25 22:07	Timashev Family Music Building	Criminal Trespass	Closed
P2025-00131	1/16/25 16:31	1/16/25 16:31	W 9TH AVE	Receiving Stolen Property	Closed
CSA2025-00175	1/16/25 11:35	1/16/25 0:00	Morrill Tower 	Public Indecency	Closed
P2025-00128	1/16/25 9:25	1/16/25 6:00	Fisher Hall	Theft	Closed
P2025-00120	1/16/25 9:18	1/16/25 9:01	Kinnear Lot	Criminal Damaging/Endangering	Open - Pending Investigation
P2025-00129	1/16/25 8:54	1/16/25 8:54	Gateway Garage	Disorderly Conduct	Closed
CSA2025-00176	1/16/25 0:30	1/15/25 22:00	Worthington Building - 	Theft	Closed
P2025-00117	1/15/25 21:40	1/14/25 19:00	Covelli Center	Theft	Closed
P2025-00116	1/15/25 19:53	1/15/25 19:53	Dave's Hot Chicken	CSA Report: Motor Vehicle Theft	Closed
CSA2025-00112	1/15/25 11:52	12/13/24 21:30	Longaberger Alumni House 	CSA Report: Fondling	Closed
P2025-00111	1/15/25 9:52	1/1/25 7:00	OSU Wexner Medical Center	Misuse of Credit Card	Open - Pending Investigation
P2025-00109	1/14/25 12:56	1/14/25 11:38	W. 12th Avenue parking Garage	Assault	Closed
P2025-00108	1/14/25 12:38	1/10/25 8:38	Stadium Lot Northwest	CSA Report: Stalking	Closed
CSA2025-00127	1/14/25 10:33	1/14/25 10:00	Scott House 	Theft	Closed
P2025-00104	1/13/25 21:34	8/14/24 0:00	Lincoln Tower	Telecommunications Harassment	Closed
P2025-00101	1/13/25 15:07	1/13/25 15:07	Ohio Union	Telecommunications Harassment	Closed
P2025-00098	1/13/25 11:46	1/11/25 2:30	1640 CANNON DR	Burglary	Open - Pending Investigation
P2025-00095	1/13/25 10:25	10/1/24 0:01	Newman and Wolfrom	Theft	Closed
CSA2025-00094	1/13/25 9:01	6/5/24 9:54	Lincoln Tower 	CSA Report: Stalking	Closed
P2025-00091	1/13/25 7:41	1/10/25 17:00	OSU Battery Center	Theft	Closed
P2025-00090	1/13/25 1:22	1/13/25 1:22	Smith-Steeb Hall	Offenses Involving Underage Persons	Closed
CSA2025-00125	1/12/25 23:39	1/12/25 0:00	Nosker House 	Theft	Closed
P2025-00089	1/12/25 23:07	1/12/25 23:07	Mirror Lake	Criminal Trespass	Open - Arrest
P2025-00088	1/12/25 19:20	1/11/25 2:00	Drackett Tower	Theft	Closed
CSA2025-00130	1/12/25 18:18	1/11/25 0:00	Bradley Hall 	Theft	Closed
P2025-00087	1/12/25 10:23	1/11/25 15:40	Gateway Garage	Criminal Damaging/Endangering	Open - Pending Investigation
P2025-00086	1/12/25 8:12	1/12/25 8:12	Rhodes Hall	Criminal Trespass	Closed - Arrest
