Case Number,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Disposition
2502070005,2/7/25 14:49,2/7/25 11:00,Fraud/Credit Card,1303 E University Blvd,Closed
2502070004,2/7/25 8:19,2/7/25 7:36,Criminal Damage/Intentional Vandalism,910 E 5 St,Closed
2502070003,2/7/25 7:38,2/7/25 6:37,Disorderly Conduct/Other (Trespassing),1508 E Helen St,Closed
2502070002,2/7/25 4:57,2/7/25 3:36,Suspicious Activity/Person,515 N Tyndall Ave,Closed
2502070001,2/7/25 1:02,2/7/25 0:16,Liquor Laws/Minor In Possession,601 N Highland Ave,Adult University Diversion
R00026-2025,2/7/25 0:00,2/7/25 0:00,Alcohol Referral (1),601 N Highland,University Diversion
2502060009,2/6/25 22:45,2/6/25 22:45,Liquor Laws/Minor In Possession,E 4Th St & N Cherry Ave,Adult-Original Case w/Arrest
2502060008,2/6/25 18:46,2/6/25 18:46,Civil Matter/Other,N Palm Drive & E 2Nd St,Closed
2502060006,2/6/25 17:10,2/6/25 17:10,Unfounded/No Bonafide Incident,1852 E 1 St,Closed
2502060005,2/6/25 17:07,2/6/25 17:07,Unfounded/No Bonafide Incident,1852 E 1 St,Closed
2502060007,2/6/25 16:30,2/6/25 16:30,Found/Property,1641 E Enke Dr,Closed
2502060004,2/6/25 16:23,2/6/25 16:23,Stolen Property/Possession,825 East University Boulevard,Adult-Original Case w/Arrest
2502060001,2/6/25 10:00,2/6/25 10:00,Traffic & Motor Vehc Laws/Moving Violations,E 6Th St & Santa Rita Ave,Adult-Original Case w/Arrest
2502060002,2/6/25 9:50,2/6/25 9:50,Fraud/Credit Card/Lost/Property,1340 E University Blvd,Closed
2502050011,2/5/25 22:11,2/5/25 22:11,Traffic & Motor Vehc Laws/License & Registration/Arrest For Other Jurisdiction/Misd Criminl Warrant,N Vine Ave & E 1St St,Adult-Original Case w/Arrest
2502050010,2/5/25 19:40,2/5/25 19:40,Suspicious Activity/Person,1017 N Olive Rd,Closed
2502050008,2/5/25 19:29,2/5/25 19:29,Criminal Damage/Graffiti,1130 N Mountain Ave,Closed
2502060003,2/6/25 15:15,2/5/25 18:00,Other Offenses/Other Felonies,1010 N Park Ave,Pending
2502050007,2/5/25 14:48,2/5/25 14:40,Collision Report,230 N Norris Ave,Closed
2502050009,2/5/25 14:14,2/5/25 14:14,Fraud/Bogus Checks,1000 N Park Ave,Closed
2502050005,2/5/25 13:15,2/5/25 13:15,Criminal Damage/Graffiti,888 N Euclid Ave,Closed
2502050006,2/5/25 13:12,2/5/25 13:12,Found/Property,1852 E 1 St,Closed
2502050004,2/5/25 10:28,2/5/25 10:28,Criminal Damage/Graffiti,1031 N Olive Rd,Closed
2502050003,2/5/25 6:30,2/5/25 6:30,Disorderly Conduct/Other (Trespassing),1695 E Speedway Blvd,Adult-Original Case w/Arrest
2502050002,2/5/25 3:00,2/5/25 1:39,Assault/Minor Injury,822 E 5 St,Adult-Original Case w/Arrest
2502040011,2/4/25 23:04,2/4/25 23:04,Disorderly Conduct/Disturbing The Peace,1621 East 1St Street,Closed
2502050001,2/4/25 22:10,2/4/25 22:10,Non-Traffic Accident/Personal Injury,1633-1639 E 1 St,Closed
2502040009,2/4/25 21:35,2/4/25 21:35,Criminal Damage/Graffiti,1017 N Olive Rd,Closed
2502040008,2/4/25 21:32,2/4/25 21:32,Suspicious Activity/Person,1510 E University Blvd,Closed
2502040010,2/4/25 20:34,2/4/25 20:34,Larceny/All Others,515 N Tyndall Ave,Closed
2502040007,2/4/25 15:42,2/4/25 15:42,Disturbance/Peace Restored,744 N Highland Ave,Closed
2502040006,2/4/25 15:41,2/4/25 15:41,Assist Other Agency/Municipal Criminal Justice/Narcotic Drug Laws/Possession Of Paraphernalia/Disorderly Conduct/Other (Trespassing),1510 E University Blvd,Adult-Original Case w/Arrest
2502040005,2/4/25 9:00,2/4/25 9:00,Criminal Damage/Graffiti,926 North Euclid Avenue,Closed
2502040004,2/4/25 8:36,2/4/25 8:36,Criminal Damage/Graffiti,888 N Euclid Ave,Closed
2502040003,2/4/25 4:18,2/4/25 4:18,Miscellaneous/Officer,1670 E Drachman St,Closed
2502040002,2/4/25 1:24,2/4/25 1:20,Liquor Laws/Minor In Possession,1121 E 4 St,Adult University Diversion
2502040001,2/4/25 0:56,2/4/25 0:56,Disorderly Conduct/Other (Trespassing),530 N Vine Ave,Adult-Original Case w/Arrest
2502020006,2/2/25 16:45,2/2/25 16:45,Criminal Damage/Intentional Vandalism,1630 E University Blvd,Closed
2502020005,2/2/25 12:35,2/2/25 12:35,Criminal Damage/Intentional Vandalism,1103 E 2 St,Closed
2502020008,2/2/25 21:40,2/2/25 12:00,Larceny/Bicycles,1657 E Helen St,Closed
2502020007,2/2/25 20:40,2/2/25 4:00,Criminal Damage/Intentional Vandalism/Larceny/Metal Theft,250 E Valencia Rd,Closed
2502020004,2/2/25 3:18,2/2/25 3:18,Disorderly Conduct/Other (Trespassing),822 E 5 St,Closed
2502020003,2/2/25 1:46,2/2/25 1:46,Narcotic Drug Laws/Possession/Narcotic Drug Laws/Possession Of Paraphernalia,E Speedway Blvd & N Mountain Ave,Adult-Original Case w/Arrest
2502020002,2/2/25 1:22,2/2/25 1:22,Disorderly Conduct/Other (Trespassing),515 N Tyndall Ave,Closed
2502020001,2/1/25 23:56,2/1/25 23:56,Criminal Damage/Intentional Vandalism/Disorderly Conduct/Disturbing The Peace,1511 E 6 St,Further Investigation
2502010009,2/1/25 20:55,2/1/25 22:50,Assault/Minor Injury/Disorderly Conduct/Fighting,1449 North Cherry Avenue,Closed
2502010008,2/1/25 22:38,2/1/25 20:26,Criminal Damage/Intentional Vandalism,1502 E Mabel St,Closed
2502010007,2/1/25 20:35,2/1/25 19:45,Gta/Stolen,1512 E 1 St,Closed
2502010006,2/1/25 16:38,2/1/25 14:32,Disorderly Conduct/Other (Trespassing)/Larceny/From Building Open To The Public,744 N Highland Ave,Adult-Original Case w/Arrest
2502010004,2/1/25 12:01,2/1/25 10:45,Criminal Damage/Graffiti,1071 North Mountain Avenue,Closed
2502010003,2/1/25 8:25,2/1/25 8:05,Criminal Damage/Graffiti,1200 E University Blvd,Closed
2502010002,2/1/25 2:39,2/1/25 2:05,Liquor Laws/Minor In Possession,940 E 5 St,Closed
2502010001,2/1/25 0:16,1/31/25 23:48,"Assault, Aggravated/Other/Threats",760 North Tyndall Avenue,Closed
2502010005,2/1/25 12:39,1/31/25 22:00,Criminal Damage/Graffiti/Criminal Damage/Intentional Vandalism,515 N Tyndall Ave,Closed
2501310019,2/1/25 5:31,1/31/25 21:41,Traffic & Motor Veh Laws/Moving Violations,Speedway/Mountain,Adult-Original Case w/Arrest
2501310018,1/31/25 22:30,1/31/25 21:34,Criminal Damage/Graffiti,515 N Tyndall Ave,Closed
2501310017,1/31/25 20:58,1/31/25 20:50,Criminal Damage/Intentional Vandalism,1224 E Lowell St,Closed
2501310015,1/31/25 18:59,1/31/25 18:30,Criminal Damage/Graffiti,1500 E University Blvd,Closed
2501310013,1/31/25 17:43,1/31/25 15:39,Suspicious Activity/Other,1303 E University Blvd,Closed
2501310010,1/31/25 13:55,1/31/25 13:14,Traffic Accident/Hit-And-Run,815 E 2 St,Further Investigation
2501310011,1/31/25 15:06,1/31/25 12:32,Burglary/Forcible Entry,250 E Valencia Rd,Closed
2501310009,1/31/25 11:28,1/31/25 11:17,Found/Property,1852 E 1St St,Closed
2501310008,1/31/25 12:02,1/31/25 10:42,Fraud/Credit Card,1430 E 2 St,Closed
2501310006,1/31/25 11:19,1/31/25 10:37,Fraud/Defrauding,1215 E Lowell St,Closed
2501310005,1/31/25 11:25,1/31/25 8:35,Sex Offenses/Exposure/Other Offenses/Other Misdemeanors,1501 N Campbell Ave,Adult-Original Case w/Arrest
2501310004,1/31/25 7:35,1/31/25 7:35,Criminal Damage/Intentional Vandalism/Found/Property,1645 West Anklam Road,Closed
2501310003,1/31/25 9:13,1/31/25 5:00,Criminal Damage/Intentional Vandalism,601 N Highland Ave,Closed
2501310002,1/31/25 4:32,1/31/25 2:17,Public Assist/Check Welfare,1420 East 1St Street,Closed
2501310001,1/31/25 3:23,1/31/25 1:03,Liquor Laws/Minor In Possession,1511 East 1St Street,Adult University Diversion
2501300014,1/30/25 23:39,1/30/25 23:39,Liquor Laws/Minor In Possession,880 E 4Th St,Adult-Original Case w/Arrest
2501300013,1/30/25 18:00,1/30/25 18:00,Found/Property,1852 E 1 St,Closed
2501300011,1/30/25 15:21,1/30/25 15:21,Criminal Damage/Graffiti,1601 E University Blvd,Further Investigation
2502028001,1/30/25 15:15,1/30/25 15:15,Larceny/Bicycles,1311 East 4Th Street,Closed
2501300010,1/30/25 15:15,1/30/25 15:15,Found/Property,1852 E 1 St,Closed
2501310014,1/31/25 21:24,1/30/25 15:09,Fraud/Impersonation,1512 E 1 St,Closed
2501300008,1/30/25 12:17,1/30/25 12:17,Larceny/From Building Open To The Public,1145 E South Campus Dr,Closed
2501300007,1/30/25 11:41,1/30/25 11:41,Miscellaneous/Officer,1852 E 1 St,Closed
2501300006,1/30/25 11:00,1/30/25 11:00,Found/Property,1629 E University Blvd,Closed
2501300005,1/30/25 10:28,1/30/25 10:28,Disorderly Conduct/Other (Trespassing),4040 N Campbell Ave,Closed
2501300009,1/30/25 8:30,1/30/25 8:30,Criminal Damage/Graffiti,1852 E 1 St,Closed
2501300012,1/30/25 12:16,1/30/25 2:59,Mental Health/Other,412 South Star Avenue,Further Investigation
2501300003,1/30/25 2:15,1/30/25 2:15,Disorderly Conduct/Other (Trespassing),1827 E Enke Dr,Adult-Original Case w/Arrest
2501300002,1/30/25 1:17,1/30/25 1:17,Larceny/Bicycles,1101 E Mabel St,Closed
2501300001,1/30/25 0:43,1/29/25 20:00,Larceny/Bicycles,1010 E South Campus Dr,Closed
2501290009,1/29/25 15:30,1/29/25 15:30,Found/Property,1017 N Olive Rd,Closed
2501290007,1/29/25 13:06,1/29/25 13:06,Disorderly Conduct/Disturbing The Peace,744 N Highland Ave,Closed
2501290008,1/29/25 12:58,1/29/25 12:58,Found/Property,1350 N Warren Ave,Closed
2501290005,1/29/25 11:12,1/29/25 11:57,Dui/Non Accident,E 8Th St & N Fremont Ave,Pending
2501290004,1/29/25 10:30,1/29/25 10:30,Disorderly Conduct/Other (Trespassing),3740 E 34Th St,Closed
2501290003,1/29/25 10:23,1/29/25 10:23,Burglary/Forcible Entry,250 E Valencia Rd,Closed
2501290001,1/29/25 7:08,1/29/25 7:35,Arrest For Other Jurisdiction/Misd Criminl Warrant,880 E 4 St,Pending
R00019-2025,1/29/25 0:00,1/29/25 0:00,Alcohol Referral (1),515 N Tyndall,University Diversion
2501288001,1/29/25 0:01,1/28/25 17:30,Non-Traffic Accident/Property Damage-Leaving The Scene,1209 E 2nd ST,Closed
2501280002,1/28/25 21:07,1/28/25 17:09,Disorderly Conduct/Tresspassing/Narcotic Drug Laws/Possession,1501 N Campbell Ave,Adult-Original Case w/Arrest
2501290002,1/29/25 7:37,1/28/25 17:00,Disorderly Conduct/Other (Trespassing),220 W 6 St,Closed
2501280003,1/28/25 19:29,1/28/25 16:55,Civil Matter/Preserve The Peace,1118 E 4Th St,Closed
2501280004,1/28/25 19:33,1/28/25 0:00,Liquor Laws/Minor In Possession,1500 E University,Pending
2501270006,1/27/25 21:16,1/27/25 21:16,Sick Cared For/Transported To Medical Facility,1010 N Park Ave,Pending
2501270005,1/27/25 20:14,1/27/25 18:45,Traffic Accident/Hit-And-Run,N Campbell Ave & E Hawthorne St,Closed
2501270004,1/27/25 17:30,1/27/25 17:30,Found/Property,602 N Highland Ave,Closed
2501270003,1/27/25 14:24,1/27/25 14:24,Suspicious Activity/Other,1130 E Helen St,Pending
2501270002,1/27/25 7:40,1/27/25 7:40,Non-Traffic Accident/Prprty Dmg-Leaving Scene,1480 North Park Avenue,Closed
2501270001,1/27/25 3:53,1/27/25 3:13,Fraud/Impersonation,27634 Long Cliff Ln,Pending
2501290006,1/29/25 12:45,1/27/25 0:00,Non-Traffic Accident/Prprty Dmg-Leaving Scene,1017 N Olive Rd,Closed
2501260008,1/26/25 20:58,1/26/25 20:58,Found/Property,1140 N Park Ave,Closed
2501280001,1/28/25 17:38,1/26/25 13:30,Mental Helath/Other,3985 N Stone Ave,Pending
2501260007,1/26/25 8:42,1/26/25 8:42,Found/Property,915 E 4Th St,Closed
2501260003,1/26/25 4:34,1/26/25 4:34,Fire/Other (Unknown Origin),520 N Vine Ave,Further Investigation
2501260004,1/26/25 4:29,1/26/25 4:29,Liquor Laws/Minor In Possession,910 E 5 St,Adult University Diversion
2501260005,1/26/25 4:04,1/26/25 4:04,Public Assist/Check Welfare,1018 E South Campus Dr,Closed
2501260002,1/26/25 2:49,1/26/25 2:49,Assist Other Agency/Municipal Criminal Justice,1201 North Park Avenue,Closed
2501260001,1/26/25 1:45,1/26/25 1:45,Liquor Laws/Minor In Possession,1449 North Cherry Avenue,Adult University Diversion
R00015-2025,1/26/25 0:00,1/26/25 0:00,Alcohol Referral (4),Unknown,University Diversion
R00016-2025,1/26/25 0:00,1/26/25 0:00,Alcohol Referral (4),550 N Highland,University Diversion
2501250010,1/25/25 23:00,1/25/25 22:54,Liquor Laws/Minor In Possession X2,515 N Tyndall Ave,Closed
2501250009,1/25/25 22:40,1/25/25 22:40,Criminal Damage/Intentional Vandalism,1140 N Park Ave,Closed
2501250007,1/25/25 16:50,1/25/25 16:18,Traffic Accident/Hit-And-Run,815 E 2 St,Adult-Original Case w/Arrest
2501250008,1/25/25 22:38,1/25/25 15:30,Criminal Damage/Intentional Vandalism,1140 N Park Ave,Closed
2501250005,1/25/25 14:45,1/25/25 14:04,Miscellaneous/Officer,1721 E Enke Dr,Closed
2501250004,1/25/25 7:52,1/25/25 7:52,Criminal Damage/Intentional Vandalism,515 N Tyndall Ave,Closed
2501250003,1/25/25 3:17,1/25/25 3:17,Miscellaneous/Public,815 E 2 St,Closed
2501260006,1/25/25 0:58,1/25/25 0:58,Sick Cared For/Transported To Medical Facility,515 N Tyndall Ave,Closed
2501250002,1/25/25 0:30,1/25/25 0:30,Found/Property,N Tyndall Ave & E University Blvd,Closed
2501250001,1/25/25 0:05,1/24/25 23:56,Assist Other Agency/Municipal Criminal Justice,345 East Congress Street,Closed
2501250006,1/25/25 10:21,1/24/25 23:30,Found/Property,1852 E 1 St,Closed
2501240005,1/24/25 22:01,1/24/25 22:01,Criminal Damage/Intentional Vandalism,515 N Tyndall Ave,Closed
2501240004,1/24/25 12:11,1/24/25 12:11,Disorderly Conduct/Other (Trespassing),1510 E University Blvd,Adult-Original Case w/Arrest
2501240002,1/24/25 9:30,1/24/25 9:30,Found/Property,1240 N Highland Ave,Closed
2501310012,1/31/25 19:29,1/24/25 0:00,Fraud/Credit Card,1130 E Helen St,Closed
R00017-2025,1/27/25 0:00,1/24/25 0:00,Alcohol Referral (3),1000 N Park Ave,University Diversion
2501230008,1/23/25 20:40,1/23/25 20:40,Found/Property,615 N Park Ave,Closed
2501230007,1/23/25 14:43,1/23/25 14:43,Sick Cared For/Transported To Medical Facility,1111 N Cherry Ave,Closed
2501230005,1/23/25 13:30,1/23/25 13:30,Found/Property,1629 E University Blvd,Closed
2501240001,1/24/25 7:56,1/23/25 13:30,Burglary/Forcible Entry/Criminal Damage/Intentional Vandalism,450 S Tucson Blvd,Closed
2501230006,1/23/25 14:26,1/23/25 13:28,Found/Property,1030 N Olive Rd,Closed
2501230004,1/23/25 9:00,1/23/25 9:00,Criminal Damage/Intentional Vandalism,1031 N Olive Rd,Closed
2501230003,1/23/25 6:43,1/23/25 6:43,Sick Cared For/Transported To Medical Facility,1303 E University Blvd,Closed
2501230002,1/23/25 6:40,1/23/25 6:03,Sick Cared For/Transported To Medical Facility,515 N Tyndall Ave,Closed
2501230001,1/23/25 1:29,1/22/25 23:02,Disorderly Conduct/Disturbing The Peace,610 N Highland Ave,Pending
2501220009,1/22/25 22:00,1/22/25 22:00,Criminal Damage/Graffiti,1025 N Olive Rd,Closed
2501220008,1/22/25 20:25,1/22/25 20:24,Traffic & Motor Vehc Laws/Moving Violations,N Martin Ave & E 1St St: Alley Nof,Further Investigation
2501220006,1/22/25 19:02,1/22/25 19:02,Traffic Accident/Property Damage,N Mountain Ave & E 2Nd St,Closed
2501220007,1/22/25 19:00,1/22/25 19:00,Found/Property,922 E 4 St,Closed
2501220005,1/22/25 15:40,1/22/25 15:40,Larceny/Shoplifting,1209 E University Blvd,Closed
2501220004,1/22/25 9:15,1/22/25 9:15,Traffic Accident/Hit-And-Run,1201 E 6 St,Closed
2501220002,1/22/25 8:00,1/22/25 8:00,Traffic Accident/Hit-And-Run,430 N Warren Ave,Closed
2501220001,1/22/25 7:45,1/22/25 7:45,Criminal Damage/Graffiti,425 N Fremont Ave,Further Investigation
2501220003,1/22/25 5:12,1/22/25 5:12,Assist Other Agency/County Criminal Justice,9909 N Volk Avenue,Closed
R00018-2025,1/28/25 0:00,1/22/25 0:00,Dating Violence (1)Agg.Assault(1),822 E 5th St,Closed
R00013-2025,1/22/25 0:00,1/22/25 0:00,Alcohol Referral (1),822 E 5th St,University Diversion
2501210009,1/21/25 20:20,1/21/25 20:20,Unfounded/No Bonafide Incident,1018 E South Campus Dr,Closed
2501210011,1/21/25 19:52,1/21/25 19:52,Criminal Damage/Graffiti,1430 E 2 St,Closed
2501210010,1/21/25 22:21,1/21/25 19:00,Criminal Damage/Intentional Vandalism,515 N Tyndall Ave,Closed
2501210005,1/21/25 13:42,1/21/25 13:42,Criminal Damage/Graffiti,1031 N Olive Rd,Closed
2501210004,1/21/25 12:30,1/21/25 12:30,Found/Property,1435 East 2Nd Street,Closed
2501210002,1/21/25 11:30,1/21/25 11:30,Criminal Damage/Graffiti,933 N Cherry Ave,Closed
2501210006,1/21/25 11:07,1/21/25 11:07,Miscellaneous/Officer,1140 N Park Ave,Closed
2501210007,1/21/25 17:52,1/21/25 10:20,Non-Traffic Accident/Prprty Dmg-Leaving Scene,1641 E Enke Dr,Further Investigation
2501210001,1/21/25 9:00,1/21/25 9:09,Non-Traffic Accident/Prsnl Injury-Leaving Scene,E 2Nd St & Olive Rd,Further Investigation
2501210008,1/21/25 19:11,1/21/25 8:00,Larceny/All Others,822 E 5 St,Closed
2501268001,1/26/25 8:00,1/21/25 7:25,Non-Traffic Accident/Prprty Dmg-Leaving Scene,880 E 4 St,Closed
R00011-2025,1/21/25 0:00,1/21/25 0:00,Alcohol Referral (7),1121 E 4th St,University Diversion
R00009-2025,1/17/25 0:00,1/21/25 0:00,Stalking,Unknown,Closed
R00012-2025,1/21/25 0:00,1/21/25 0:00,Drug Referral (3),610 N Highland,University Diversion
R00010-2025,1/21/25 0:00,1/21/25 0:00,Alcohol Referral (3),515 N Tyndall,University Diversion
2501210003,1/21/25 12:30,1/20/25 17:00,Larceny/From Residence,575 N Highland Ave,Closed
2501200006,1/20/25 16:00,1/20/25 16:00,Unfounded/No Bonafide Incident,1047 East Drachman Street,Closed
2501200002,1/20/25 6:27,1/20/25 6:27,Found/Property,1852 E 1 St,Closed
2501200004,1/20/25 12:40,1/20/25 5:59,Larceny/From Motor Vehicle,1448 East 1St Street,Closed
2501200001,1/20/25 4:35,1/20/25 4:35,Assist Other Agency/Municipal Criminal Justice,6863 South Cottontail Run Avenue,Closed
2501200003,1/20/25 10:30,1/19/25 17:16,Criminal Damage/Intentional Vandalism/Larceny/From Motor Vehicles,1240 N Highland Ave,Closed
2501200005,1/20/25 15:33,1/19/25 8:30,Burglary/Unlawful Entry - No Force,1509 East 2Nd Street,Closed
2501190007,1/29/25 4:11,1/19/25 4:11,Minor In Possession,610 N Highland Way,Pending
2501190005,1/19/25 3:32,1/19/25 3:34,Disorderly Conduct/Disturbing The Peace Dv/Liquor Laws/Minor In Possession,1003 N Olive Rd,Adult-Original Case w/Arrest
2501190006,1/19/25 3:04,1/19/25 3:04,Assault/Minor Injury,515 N Tyndall Ave,Adult-Original Case w/Arrest
2501190004,1/19/25 2:14,1/19/25 2:14,"Assault, Aggravated/Other",N Tyndall Ave & E 4Th St,Pending
2501190008,1/19/25 12:15,1/19/25 2:00,Criminal Damage /Disorderly Conduct/Other (Trespassing),1801 East 1St Street,Closed
2501190003,1/19/25 1:52,1/19/25 1:52,Sick Cared For/Transported To Medical Facility,515 N Tyndall Ave,Closed
2501190002,1/19/25 0:41,1/19/25 0:20,Disorderly Conduct/Other (Trespassing),515 N Tyndall Ave,Closed
2501240003,1/19/25 0:00,1/19/25 0:00,Found/Property,1200 E University Blvd,Closed
2501180001,1/18/25 0:18,1/18/25 23:39,Threats/Fraud/Bogus Checks,621 N Highland,Further Investigation
2501190001,1/18/25 18:01,1/18/25 18:01,Found/Property,1601 E University Blvd,Closed
2501180008,1/18/25 21:57,1/18/25 17:29,Assault/No Injury/Disorderly Conduct/Disturbing The Peace,615 N Park Ave,Adult-Original Case w/Arrest
2501190009,1/18/25 13:00,1/18/25 13:00,Public Hazard/Other,1501 N Campbell Ave,Closed
2501180007,1/18/25 13:59,1/18/25 11:11,Found/Property,1101 E Mabel St,Closed
2501180006,1/18/25 5:59,1/18/25 5:38,Fire/Other (Unknown Origin),E 2Nd St & N Highland Ave,Closed
2501180004,1/18/25 6:00,1/18/25 4:18,Fire/Other (Unknown Origin),E 1St St & Warren Ave,Closed
2501180005,1/18/25 5:57,1/18/25 3:54,Liquor Laws/Minor Possession/Traff & Motor Veh Laws/License,880 E 4Th St,Adult-Original Case w/Arrest
2501180003,1/18/25 5:52,1/18/25 2:29,Liquor Laws/Minor Possession/Traff & Motor Veh Laws/License,1130 E South Campus Dr,Adult-Original Case w/Arrest
2501180002,1/18/25 3:49,1/18/25 1:20,Liquor Laws/Minor Possession,822 E 5Th St,Adult University Diversion
2501170011,1/17/25 22:32,1/17/25 20:00,Liquor Laws/Minor In Possession/Traf & Motor Veh Laws/License,602 N Highland Ave,Adult University Diversion
2501170010,1/17/25 18:54,1/17/25 18:54,Collision/Hit And Run,6Th St/Santa Rita Ave,Pending
2501170009,1/17/25 17:49,1/17/25 15:28,Gta/Stolen,1303 E University Blvd,Closed
2501170006,1/17/25 14:59,1/17/25 14:10,Gta/Recovery,E 4Th St & N Highland Ave,Closed
2501170005,1/17/25 13:27,1/17/25 12:32,Found/Property,845 N Park Ave,Closed
2501170007,1/17/25 14:30,1/17/25 11:40,Larceny/All Others,1009 E James E. Rogers Way,Closed
2501160002,1/16/25 11:40,1/17/25 11:40,Pending,744 N Highland Ave,Pending
2501170004,1/17/25 15:58,1/17/25 11:00,Gta/Stolen,1440 E 4 St,Closed
2501170003,1/17/25 12:44,1/17/25 10:00,Civil Matter/Court Order Enforce,1503 E University Blvd,Closed
2501170002,1/17/25 4:31,1/17/25 2:14,Mental Health/Transported To Treatment Facility,1101 E Mabel St,Closed
2501170001,1/17/25 1:00,1/17/25 0:07,Disturbance/Peace Restored,645 East University Blvd,Closed
R00008-2025,1/17/25 0:00,1/17/25 0:00,Alcohol Referral (1),Unknown,University Diversion
2501170012,1/18/25 1:01,1/17/25 0:00,Threats,940 E 5Th St,Further Investigation
R00006-2025,1/17/25 0:00,1/17/25 0:00,Alcohol Referral (5),,
R00005-2025,1/17/25 0:00,1/17/25 0:00,Alcohol Referral (3),602 N Highland,
2501310007,1/31/25 11:29,1/17/25 0:00,Fraud/Credit Card,1041 E Lowell St,Closed
2501160007,1/16/25 20:15,1/16/25 20:15,Assist Other Agency/Municipal Criminal Justice,1852 E 1 St,Closed
2501160005,1/16/25 17:21,1/16/25 17:21,Traffic Accident/Property Damage,E Speedway Blvd & N Cherry Ave,Adult-Original Case w/Arrest
2501160006,1/16/25 19:00,1/16/25 15:30,Criminal Damage/Graffiti,1014-1018 E 6 St,Closed
2501160004,1/16/25 15:18,1/16/25 15:18,Mental Health/Other,1212 E University Blvd,Closed
2501160003,1/16/25 13:13,1/16/25 13:13,Found/Property,610 N Highland Ave,Closed
2501180009,1/18/25 21:38,1/16/25 13:00,Disturbance/Other,1423 E University,Closed
2501160001,1/16/25 9:38,1/16/25 9:38,Criminal Damage/Graffiti,900 N Martin Ave,Closed
2501300004,1/30/25 9:05,1/16/25 8:00,Larceny/Bicycles,1000 N Park Ave,Further Investigation
2501150011,1/15/25 16:54,1/15/25 16:54,Non-Traffic Accident/Property Damage,815 E 2 St,Closed
2501150010,1/15/25 16:41,1/15/25 16:41,Disorderly Conduct/Other (Trespassing),928 East Helen Street,Adult-Original Case w/Arrest
2501150008,1/15/25 12:35,1/15/25 12:30,Gta/Recovery,N Campbell Ave & E 10Th St,Adult-Original Case w/Arrest
2501170008,1/15/25 15:09,1/15/25 11:00,Lost/Property,650 N Park Ave,Closed
2501150006,1/15/25 10:00,1/15/25 10:00,Traffic & Motor Vehc Laws/Other,922 E 4 St,Closed
2501150004,1/15/25 2:36,1/15/25 2:36,Criminal Damage/Intentional Vandalism/Larceny/All Others,822 E 5 St,Adult-Original Case w/Arrest
2501150002,1/15/25 0:33,1/15/25 0:33,Liquor Laws/Minor In Possession,825 E 5 St,Closed
2501150003,1/15/25 0:00,1/15/25 0:00,Public Assist/Check Welfare,940 E 5 St,Closed
R00003-2025,1/15/25 0:00,1/15/25 0:00,Alcohol Referral (2),550 N Highland,University Diversion
2501140010,1/14/25 22:14,1/14/25 22:17,Liquor Laws/Minor In Possession,540 North Vine Avenue,Pending
2501140009,1/14/25 22:05,1/14/25 22:05,Liquor Laws/Minor In Possession,1400 E 6 St,Closed
2501140007,1/14/25 1:45,1/14/25 21:42,Liquor Laws/Minor In Possession,2Nd/Mountain Ave,Adult-Original Case w/Arrest
2501150009,1/15/25 17:00,1/14/25 20:00,Criminal Damage/Graffiti,1014-1018 E 6 St,Closed
2501140008,1/14/25 22:05,1/14/25 19:00,Criminal Damage/Intentional Vandalism,602 N Highland Ave,Closed
2501140006,1/14/25 20:24,1/14/25 18:07,Disorderly Conduct/Other (Trespassing),1550 East 4Th Street,Adult University Diversion
