Incident Type,Location,Date/Time Occurred,Date/Time Occurred to,Date/Time Reported,Dates are:,Disposition
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Public Intoxication,"Plank Leadership Learning
Center (622 Military Mall,
College Station)",2/28/25 1:27,2/28/25 1:27,2/28/25,Approximate,Exceptionally Cleared
Driving While Intoxicated (With Open Container),"Park West Parking Area near
Tower 3 (503 George Bush Dr
W, Ste A, College Station)",2/28/25 2:00,2/28/25 4:19,2/28/25,Approximate,Cleared by Arrest
Theft Under $100 (From Building),"General Services Complex (750
Agronomy Rd, College Station)",2/28/25 7:30,2/28/25 12:10,2/28/25,Approximate,Active
Theft Under $100 (From Building),"General Services Complex (750
Agronomy Rd, College Station)",2/28/25 12:36,2/28/25 13:00,2/28/25,Approximate,Active
Burglary of a Building,"General Services Complex (750
Agronomy Rd, College Station)",2/27/25 8:00,2/27/25 14:00,2/28/25,Approximate,Active
Criminal Mischief =$100 <$750,"Bolton Hall - North Side Bike
Racks (456 Ross St, College
Station)",2/24/25 14:00,2/28/25 10:22,2/28/25,Approximate,Active
Hit and Run,"Parking Area 74
488 OLSEN BL
COLLEGE STATION TX 77843",2/28/25 8:15,2/28/25 11:50,2/28/25,Approximate,Unfounded
Theft Under $100 (From Building),"Star Cinema Grill
1037 University Dr, College
Station, TX 77840",1/29/25 0:00,1/29/25 23:59,2/28/25,Approximate,Warrant Being Sought
Criminal Mischief >=$750<$2500,"Sbisa Dining Hall (233 Houston
St, College Station)",2/26/25 14:00,2/26/25 14:00,2/28/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Heldenfels Hall-Northside Bike
Racks (466 Nagle St, College
Station)",2/28/25 9:00,2/28/25 10:00,2/28/25,Approximate,Active
Accident Hit and Run,"West Campus Parking Garage
(201 John Kimbrough Bl, College
Station)",2/24/25 13:45,2/28/25 14:51,2/28/25,Approximate,Active
Minor in Possession of Alcohol,"Walton Residence Hall (166
Houston St, College Station)",2/28/25 17:59,2/28/25 17:59,2/28/25,Approximate,"Referred by Tell
Somebody"
"Criminal Mischief <$100 or Substantial
Inconvenience","Lubbock at Spence Street -
Transportation Services Gate
Arm
College Station, TX",2/27/25 11:19,2/27/25 11:19,2/27/25,Approximate,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Bike Racks between Student
Computing Center and Central
Campus Parking Garage
(400 SPENCE ST
COLLEGE STATION TX 77840)",2/26/25 22:15,2/27/25 0:45,2/27/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Bike Racks between Student
Computing Center and Central
Campus Parking Garage
(400 SPENCE ST
COLLEGE STATION TX 77840)",2/26/25 23:50,2/27/25 8:00,2/27/25,Approximate,Active
Theft >=$100<$750 (All Other),"Scoates Hall (333 Spence St,
College Station)",1/15/25 12:52,1/31/25 12:52,2/27/25,Approximate,Active
Theft >=$100<$750 (Bicycle),"All Faiths Chapel Exterior (300
Houston St, College Station)",2/27/25 13:10,2/27/25 13:30,2/27/25,Approximate,Unfounded
Theft Under $100 (From Building),"General Services Complex
750 AGRONOMY RD
COLLEGE STATION TX 77840",2/27/25 8:00,2/27/25 14:07,2/27/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Wehner Building-Southside Bike
Racks (210 Olsen Bl, College
Station)",2/27/25 11:00,2/27/25 17:00,2/27/25,Approximate,Active
Theft Under $100 (From Building),"General Services Complex-Suite
2301 (750 Agronomy Rd,
College Station)",2/27/25 12:00,2/27/25 15:05,2/27/25,Approximate,Active
Theft Under $100 (From Building),"General Services Complex-Suite
1601 (750 Agronomy Rd,
College Station)",2/27/25 12:00,2/27/25 17:30,2/27/25,Approximate,Active
Criminal Trespass in Habitation,"The Gardens G (302 Ball St,
College Station)",2/27/25 6:39,2/27/25 18:30,2/27/25,Approximate,Active
Aggravated Assault,Northgate,2/27/25,2/27/25,2/27/25,Not Provided,Administratively Closed
"Clery Stalking / Harassment (Other Than by
Threats)","Harrell Hall-Dorm 8 (696
Military Mall, College Station)",10/19/24 0:00,11/2/24 23:59,2/27/25,Approximate,Administratively Closed
Open Container (Possession in Motor Vehicle),"Throckmorton Street (Next to
University Center Parking
Garage
College Station, TX",2/26/25 15:31,2/26/25 15:31,2/26/25,Approximate,"Cleared by Arrest
(Citation)"
Public Intoxication,"Evans Library Annex 4th Floor
(400 Spence St, College Station)",2/26/25 22:16,2/26/25 22:16,2/26/25,Approximate,Exceptionally Cleared
Assault by Threat,"Parking Area 7
575 ROSS ST
COLLEGE STATION TX 77840",2/26/25 10:09,2/26/25 10:09,2/26/25,Exact,Active
"Criminal Mischief <$100 or Substantial
Inconvenience","Joe C. Richardson Petroleum
Engineering Building - Bike
Racks (245 Spence St, College
Station)",2/26/25 11:30,2/26/25 12:20,2/26/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex - East Side Bike Racks
(125 Spence St, College Station)",2/26/25 9:15,2/26/25 16:00,2/26/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Dunn Residence Hall - Bike
Racks between Commons (636
Lubbock St, College Station)",2/26/25 9:00,2/26/25 10:45,2/26/25,Approximate,Active
Accident Hit and Run,"University Drive at Polo Road
Crosswalk
College Station, TX",2/26/25 19:26,2/26/25 19:26,2/26/25,Approximate,Active
Possession of Drug Paraphernalia,"George Bush Drive at Marion
Pugh Drive
College Station, TX",2/26/25 22:11,2/26/25 22:11,2/26/25,Exact,"Cleared by Arrest
(Citation)"
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Emerging Technologies Building
- Bike Racks (101 Bizzell St,
College Station)",2/26/25 10:00,2/26/25 22:20,2/26/25,Approximate,Active
Simple Assault,"Clements Residence Hall (211
Jones St, College Station)",2/22/25 0:00,2/22/25 0:00,2/26/25,Approximate,Administratively Closed
Assault Unwanted Contact,"Texas A&M Fire Service Conroe
office (1328 FM 1488, Conroe,
TX)",2/25/25 0:00,2/25/25 23:59,2/26/25,Approximate,Administratively Closed
Sexual Assault,Corps Dorm,1/25/24 0:00,11/30/24 23:59,2/26/25,Approximate,Referred by IR
Criminal Mischief,"Sbisa Dining Hall (233 Houston
St, College Station)",2/26/25 14:00,2/26/25 14:00,2/26/25,Approximate,"Referred by Tell
Somebody"
Theft of Property >$100<$750 (All Other),"Commons
676 Lubbock St, College Station,
TX 77843",2/19/25 16:00,2/19/25 16:00,2/25/25,Approximate,Active
Accident Hit and Run,"John Kimbrough Blvd - Between
Parking Area 100 A and 100 B",2/25/25 17:15,2/25/25 17:15,2/25/25,Approximate,Active
Assault Causes Bodily Injury,"100 Park (170 Century Square
Dr, College Station)",11/29/24 0:00,12/28/24 23:59,2/25/25,Approximate,Active
Reckless Damage or Destruction,"Parking Area 73 -
Transportation Services Gate
Arm",2/24/25 7:19,2/24/25 7:19,2/24/25,Approximate,Exceptionally Cleared
Burglary of a Building,"Koldus Building Suite 111 (400
Joe Routt Bl, College Station)",2/15/25 16:05,2/16/25 9:54,2/24/25,Approximate,Active
Accident Hit and Run,"Parking Area 100 C
730 OLSEN BL
COLLEGE STATION TX 77843",2/24/25 12:48,2/24/25 12:48,2/24/25,Approximate,Active
Possession of Drug Paraphernalia,"Appelt Residence Hall (660
Mosher Ln, College Station)",2/24/25 21:55,2/24/25 21:55,2/24/25,Exact,Cleared by Arrest
duty,"Parking Area 72 B
202 OLSEN BL
COLLEGE STATION TX 77843",2/17/25 11:00,2/17/25 15:00,2/24/25,Approximate,Active
Assault Unwanted Contact (x2),"Bolton Hall (456 Ross St, College
Station)",2/24/25,2/24/25,2/24/25,Not Provided,Administratively Closed
"Attempted Theft of Property $100<$750 (All Other
Theft)","Hullabaloo Residence Halls -
North SideBike Racks (306
University Drive, College
Station, TX 77840)",2/23/25 1:11,2/23/25 1:11,2/23/25,Approximate,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Scooter/ Bicycle)","U Centre Bike Racks (907 Cross
St, Ste 01, College Station)",2/22/25 16:00,2/23/25 6:16,2/23/25,Approximate,Active
Theft of Property >=$100<$750 (Bicycle),"The Gardens G - Bike Racks (302
Ball St, College Station)",2/23/25 13:29,2/23/25 13:29,2/23/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Hullabaloo Residence Hall -
South Bike Racks (306
University Dr, College Station)",2/21/25 17:00,2/23/25 11:00,2/23/25,Exact,Active
Graffiti Pecuniary Loss <$100,"Physical Education Activity
Program Building (632
Penberthy Bl, College Station)",2/21/25 23:00,2/22/25 16:30,2/23/25,Approximate,Active
Allegation of Reckless Driving,"Century Square Parking Area
(Near Velvet Taco)
1099 University Dr #111,
College Station, TX",2/22/25 0:21,2/22/25 0:21,2/22/25,Approximate,Administratively Closed
Disorderly Conduct (Fighting),"Hullabaloo Residence Hall -
Exterior(306 University Dr,
College Station)",2/22/25 2:04,2/22/25 2:04,2/22/25,Approximate,Administratively Closed
Public Intoxication,"Wellborn Road at University
Drive Overpass
College Station, TX",2/22/25 2:43,2/22/25 2:43,2/22/25,Approximate,Exceptionally Cleared
Public Intoxication,"Sidewalk in Front of The Corner
Bar
401 University Dr, College
Station, TX 77840",2/22/25 3:07,2/22/25 3:07,2/22/25,Approximate,Exceptionally Cleared
Public Intoxication,"Old Main Underpass - Near
Wellborn Road
200 OLD MAIN DR
COLLEGE STATION TX 77840",2/22/25 2:39,2/22/25 2:39,2/22/25,Approximate,Active
"Fraudulent Use or Possession of Identifying
Information","The Commons Mail Room
676 LUBBOCK ST
COLLEGE STATION TX 77840",2/22/25 11:37,2/22/25 11:39,2/22/25,Approximate,Exceptionally Cleared
Theft Under $100 (From Building),"Blocker Building (155 Ireland St,
College Station)",2/21/25 11:30,2/21/25 14:00,2/22/25,Approximate,Active
"Temporary Tags (Unauthorized Reproduction or
Use)","Texas Avenue (South of
University Drive)",2/22/25 20:27,2/22/25 20:27,2/22/25,Exact,Active
Theft of Property =$100 <$750 (All Other),"Lechner Residence Hall (232
Houston St, College Station)",2/15/25 17:00,2/22/25 16:00,2/22/25,Approximate,Active
"Clery Stalking/ Harassment (Other Than by
Threats)","Clements Residence Hall (211
Jones St, College Station)",1/19/25 0:00,2/22/25 0:16,2/22/25,Approximate,Administratively Closed
"Clery Stalking / Harassment (Other Than by
Threats)","Sbisa Dining Hall (233 Houston
St, College Station)",10/15/24 0:00,12/31/24 23:59,2/22/25,Approximate,Referred by IR
Public Intoxication,"Parking Area 30 C
College Station, TX",2/21/25 1:54,2/21/25 1:54,2/21/25,Approximate,Exceptionally Cleared
"Operate Motor Vehicle w/ Fictitious (Wrong)
License Plate","Raymond Stotzer Pkwy West of
Turkey Creek Rd.",2/21/25 0:44,2/21/25 0:44,2/21/25,Approximate,"Cleared by Arrest
(Citation)"
Driving While Intoxicated BAC >=0.15,"Old Main Drive Near
Interdisciplinary Life Sciences
Building (301 Old Main Dr.,
College Station, TX 77843)",2/21/25 2:37,2/21/25 2:37,2/21/25,Approximate,Cleared by Arrest
Assault,"Davis-Gary Residence Hall (210
University Dr, College Station)",2/21/25 3:08,2/21/25 3:08,2/21/25,Approximate,Exceptionally Cleared
Accident Hit and Run,"West Campus Parking Garage
(201 John Kimbrough Bl, College
Station)",2/4/25 10:00,2/5/25 11:00,2/21/25,Approximate,Active
Theft Under $100 (All Other Theft),"Student Recreation Center -
Natatorium (187 Corrington Dr,
College Station)",2/20/25 21:00,2/20/25 22:30,2/21/25,Approximate,Unfounded
"Theft of Property =$2,500 <$30,000","The George Hotel (180 Century
Ct, Ste 01, College Station)",2/4/25 0:00,2/4/25 23:59,2/21/25,Approximate,Active
"Criminal Mischief <$100 or Substantial
Inconvenience","Southside Recreation Center
Bike Racks (633 Bizzell St,
College Station)",2/21/25 15:08,2/21/25 15:08,2/21/25,Exact,Active
"Temporary Tags (Unauthorized Reproduction or
Use)","Insomnia Cookies Parking Lot
505 University Drive
College Station, TX 77840",2/21/25 22:39,2/21/25 22:39,2/21/25,Approximate,"Cleared by Arrest
(Citation)"
Harassment,"Leonard Hall-Dorm 7 (695
Military Mall, College Station)",2/21/25 6:15,2/21/25 6:15,2/21/25,Approximate,Administratively Closed
Suspicious Behavior,"Underwood Residence Hall (644
Mosher Ln, College Station)",2/21/25 10:15,2/21/25 10:15,2/21/25,Approximate,Referred by IR
Furnishing Alcohol to Minor,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Minor in Possession of Alcohol,Corps Residence Hall,1/17/25 0:00,1/17/25 23:59,2/20/25,Approximate,Referred by SCO
Reckless Damage or Destruction,"Ross Street at Asbury Street -
Transportation Services Gate
Arm
College Station, TX",2/20/25 14:47,2/20/25 14:47,2/20/25,Approximate,Exceptionally Cleared
Accident Hit and Run,"717 University Drive
College Station, TX",2/20/25 19:45,2/20/25 19:45,2/20/25,Approximate,Cleared by Other Agency
"Criminal Mischief <$100 or Substantial
Inconvenience","Sterling C. Evans Library (400
Spence St, College Station)
400 SPENCE ST
COLLEGE STATION TX 77840",2/17/25 0:00,2/17/25 23:59,2/20/25,Approximate,Administratively Closed
Disorderly Conduct (Offensive Action),"Memorial Student Center (275
Joe Routt Bl, College Station)",2/20/25 11:35,2/20/25 11:35,2/20/25,Approximate,Exceptionally Cleared
Harassment (Other Than by Threat),"VENI Building - Veterinary
Medicine Building 1
660 Raymond Stotzer Pw,
College Station, TX 77843",2/20/25 12:30,2/20/25 13:30,2/20/25,Approximate,Active
"Criminal Mischief =$750 <$2,500","Bizzell Street Parking East of
Wisenbaker
180 BIZZELL ST
COLLEGE STATION TX",2/20/25 10:00,2/20/25 12:00,2/20/25,Approximate,Active
Assault Unwanted Contact,On Campus,2/20/25,2/20/25,2/20/25,Not Provided,Referred by IR
"Clery Stalking / Harassment (Other Than by
Threats)",On Campus,1/1/25 0:00,2/19/25 23:59,2/20/25,Approximate,Administratively Closed
Assault (Offensive Contact) / Domestic Violence,"Lacy Hall-Dorm 6 (664 Military
Mall, College Station)",8/15/24 0:00,12/15/24 23:59,2/20/25,Approximate,Administratively Closed
"Clery - Stalking/ Harassment (Other than by
threat)","Transit Office (969 Agronomy
Rd, College Station)",1/15/24 0:00,12/31/24 23:59,2/20/25,Approximate,Referred by IR
Disorderly Conduct,"Clements Residence Hall (211
Jones St, College Station)",1/25/25 0:00,2/15/25 23:59,2/20/25,Approximate,Referred by SCO
Simple Assault,"Global Health Research
Complex (495 Agronomy Rd,
College Station)",2/19/25,2/19/25,2/19/25,Not Provided,Administratively Closed
Public Intoxication,"Doug Pitcock 49 Hotel and
Conference Center (177 Joe
Routt BL, College Station)",2/19/25 21:25,2/19/25 21:25,2/19/25,Approximate,Exceptionally Cleared
Duty on Striking Unattended Motor Vehicle,Parking Area 82,2/12/25 8:00,2/12/25 23:00,2/19/25,Exact,Active
Online Impersonation,Campus Dorm,2/19/25 13:06,2/19/25 13:06,2/19/25,Exact,Active
"Criminal Mischief <$100 or Substantial
Inconvenience","Parking Area 122 A
754 WEST CAMPUS BL
COLLEGE STATION TX 77845",2/18/25 17:45,2/19/25 14:00,2/19/25,Exact,Active
Minor in Possession of Tobacco,"Walton Residence Hall (166
Houston St, College Station)",2/16/25 19:30,2/16/25 19:30,2/19/25,Approximate,Referred by CSA
Assault Unwanted Contact,On Campus Machine Shop,2/10/25 0:00,2/16/25 23:59,2/18/25,Approximate,Referred by TIX
"Clery- Theft of Motor Vehicle/Theft of Property
>=$100<$750 (Electric Scooter)",Starbucks on the Military Mall,2/15/25 12:00,2/18/25 8:00,2/18/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Scooter)",Parking Area 100E,2/17/25 12:30,2/17/25 20:25,2/18/25,Exact,Active
"Clery- Theft of Motor Vehicle/Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex (125 Spence St,
College Station)",2/18/25 12:00,2/18/25 13:00,2/18/25,Exact,Inactive
Duty on Striking Unattended Motor Vehicle,Parking Area 40B,2/18/25 16:12,2/18/25 16:12,2/18/25,Exact,Active
"Clery- Theft of Motor Vehicle/Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex (125 Spence St,
College Station)",2/18/25 17:05,2/18/25 17:05,2/18/25,Exact,Active
Theft From Building,"Aston Residence Hall (655
Mosher Ln, College Station)",2/17/25 17:30,2/17/25 17:30,2/18/25,Approximate,Referred by CSA
Reckless Damage or Destruction,"Ross Street at Bizzell Street -
Transportation Services Gate
Arm
College Station, TX",2/17/25 15:58,2/17/25 15:58,2/17/25,Approximate,Administratively Closed
Harassment (By Threat),"Heldenfels Hall (466 Nagle St,
College Station)",2/17/25 11:19,2/17/25 11:19,2/17/25,Exact,Administratively Closed
Criminal Mischief =$100 <$750,"Reed House (1 Reed Dr, College
Station)",2/17/25 0:00,2/17/25 11:10,2/17/25,Approximate,Inactive
"Criminal Mischief <$100 or Substantial
Inconvenience","Jack E. Brown Chemical
Engineering Building- Bike Racks
(100 Spence St, College Station)",2/17/25 4:00,2/17/25 12:30,2/17/25,Exact,Active
Harassment by Threat,"Blocker Building (155 Ireland St,
College Station)",11/5/24 0:00,2/17/25 13:00,2/17/25,Approximate,Inactive
Theft of Motor Vehicle,"Southern Crop Improvement
Greenhouse (502 Olsen Bl,
College Station)",2/17/25 10:05,2/17/25 10:05,2/17/25,Exact,Unfounded
Terroristic Threat,"Information Technologies
Incident Operations Center",2/17/25 21:38,2/17/25 21:38,2/17/25,Exact,Active
Minor in Possession of Tobacco Product,"Aston Residence Hall (655
Mosher Ln, College Station)",2/14/25 12:16,2/14/25 12:16,2/17/25,Approximate,Referred
Theft,On Campus,9/1/24 0:00,2/17/25 11:55,2/17/25,Approximate,Administratively Closed
Sexual Assault,Not Provided,2/17/25,2/17/25,2/17/25,Not Provided,Referred by IR
Clery Stalking / Harassment,"Dunn Residence Hall (636
Lubbock St, College Station)",2/12/25 20:50,2/12/25 20:50,2/17/25,Approximate,Referred by IR
Clery Stalking / Harassment by Threat,"Blocker Building (155 Ireland St,
College Station)",1/1/25 0:00,2/17/25 13:00,2/17/25,Approximate,"Referred by Tell
Somebody"
Voyeurism,"Leonard Hall-Dorm 7 (695
Military Mall, College Station)",2/16/25,2/16/25,2/16/25,Not Provided,Referred by EthicsPoint
Theft Under $100 (From Building),"Creekside Market
White Creek Community Center
(667 West Campus Bl, College
Station)",2/16/25 15:02,2/16/25 15:02,2/16/25,Approximate,Active
Public Intoxication,"Schuhmacher Residence Hall -
Exterior (308 University Dr,
College Station)",2/15/25 2:16,2/15/25 2:16,2/15/25,Approximate,Exceptionally Cleared
Driving while Intoxicated BAC >=0.15,"Asbury Street near North Side
Parking Garage Exit",2/15/25 2:37,2/15/25 2:37,2/15/25,Approximate,Cleared by Arrest
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Bike Racks between Northside
Parking Garage and the Blocker
Building
104 IRELAND ST
COLLEGE STATION TX 77840",2/11/25 15:00,2/11/25 20:30,2/15/25,Approximate,Inactive
Assault by Threats,"Butler Hall (525 Lubbock St,
College Station)",2/14/25 16:45,2/14/25 16:45,2/15/25,Exact,Exceptionally Cleared
"Operate Motor Vehicle w/ Fictitious (Wrong)
License Plate","Parking Area 88
750 AGRONOMY RD
COLLEGE STATION TX 77843",2/15/25 11:11,2/15/25 11:11,2/15/25,Approximate,"Cleared by Arrest
(Citation)"
Public Intoxication,"Park West Hillside 5
503 GEORGE BUSH DR W
COLLEGE STATION TX 77840",2/15/25 23:40,2/16/25 0:16,2/15/25,Approximate,Cleared by Arrest
"Criminal Mischief <$100 or Substantial
Inconvenience","University Center Parking
Garage (660 Throckmorton St,
College Station)",2/14/25 12:06,2/14/25 12:06,2/14/25,Approximate,Exceptionally Cleared
"Possession of Controlled Substance PG 2 >=1G<4G
(All Others)","West Campus Parking Garage
(201 John Kimbrough Bl, College
Station)",2/14/25 0:42,2/14/25 0:42,2/14/25,Approximate,Cleared by Arrest
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Memorial Student Center -
South Side Bike Racks (275 Joe
Routt Bl, College Station)",2/12/25 8:50,2/13/25 21:50,2/14/25,Approximate,Unfounded
Harassment,Brayton Fire Field,2/14/25 9:52,2/18/25 10:05,2/14/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Bike Racks between Student
Computing Center and Heep
Laboratory Building
400 SPENCE ST
COLLEGE STATION TX 77840",2/13/25 21:32,2/13/25 21:32,2/14/25,Approximate,Active
Criminal Mischief >=$2500<$30K,"Either Parking Area 122 C or
North Side Parking Garage",2/13/25 18:35,2/14/25 15:30,2/14/25,Approximate,Inactive
Assault Unwanted Contact (3),"Baumhaus/First Down Rooftop
(335 University Dr, College
Station, TX 77840)",2/14/25,2/14/25,2/14/25,Not Provided,Referred by IR
"Clery-Motor Vehicle Theft/ Theft of Property
$750>$2500 (Electric Scooter)
)","Evans Library Annex - Bike Racks
(400 Spence St, College Station)",2/13/25 7:50,2/13/25 8:30,2/13/25,Approximate,Active
Possession of Marijuana < 2 oz,"Pop Stroke Parking Lot (Century
Square)
255 Ball Street
College Station, TX",2/13/25 15:37,2/13/25 15:37,2/13/25,Exact,Inactive
Theft Under $100 (All Other Theft),"The Rail Restaurant - Doug
Pitcock 49 Hotel and
Conference Center (177 Joe
Routt BL, College Station)",2/11/25 15:30,2/11/25 22:30,2/13/25,Approximate,Active
Indecent Assault (Clery Fondling),On Campus,1/1/20 0:00,2/13/25 11:03,2/13/25,Approximate,Referred by IR
Clery - Aggravated Assault,"Park West Tower 4 - Parking Lot
503 George Bush Drive W.
College Station, TX",2/12/25 18:29,2/12/25 18:29,2/12/25,Approximate,Administratively Closed
Theft >=$100<$750 (All Other),"Between Computing Services
Annex (733 Lamar St, CS, TX)
and Peterson Building (435
Nagle St., CS, TX)",2/10/25 17:00,2/10/25 19:00,2/12/25,Approximate,Active
Duty on Striking Unattended Motor Vehicle,"Parking Area 113
2929 RESEARCH PW
COLLEGE STATION TX 77843",2/12/25 8:00,2/12/25 9:45,2/12/25,Approximate,Active
"Theft of Property =$750 <$2,500 (All Other)","Interdisciplinary Life Sciences
Building (301 Old Main Dr,
College Station)
301 OLD MAIN DR
COLLEGE STATION TX 77840",2/12/25 13:00,2/12/25 14:00,2/12/25,Approximate,Active
"Theft of Property =$750 <$2,500 (All Other)","Interdisciplinary Life Sciences
Building (301 Old Main Dr,
College Station)",2/12/25 16:21,2/12/25 16:21,2/12/25,Exact,Active
"Clery Stalking / Harassment (Other Than by
Threats)","Dunn Residence Hall (636
Lubbock St, College Station)",2/12/25 20:00,2/12/25 20:00,2/12/25,Approximate,Active
Theft of Property $100<$750 (From Building),"Physical Education Activity
Program Building (PEAP) (632
Penberthy Bl, College Station)",2/12/25 21:30,2/12/25 21:55,2/12/25,Approximate,Active
Reckless Damage or Destruction,"Gene Stallings Blvd Garage (500
Gene Stallings Bl, College
Station)",2/11/25 1:38,2/11/25 1:38,2/11/25,Approximate,Exceptionally Cleared
