Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Public Service,2503120088,3/12/25 23:41,,"Parking Lot 19, 900 Block Of University Ave",Completed
Possess Unlawful Paraphernalia (M),25-0340,3/12/25 23:39,3/12/2025 11:39 PM - 3/13/2025 12:11 AM,"University Ave//cranford Ave, 1500 Block Of University Ave",Cleared By Arrest
Carry Concealed Dirk Or Dagger (M),25-0340,3/12/25 23:39,3/12/2025 11:39 PM - 3/13/2025 12:11 AM,"University Ave//cranford Ave, 1500 Block Of University Ave",Cleared By Arrest
Cso Services,2503120078,3/12/25 21:59,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503120077,3/12/25 21:57,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503120076,3/12/25 21:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503120073,3/12/25 21:55,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503120074,3/12/25 21:55,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120075,3/12/25 21:55,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Public Service,2503120072,3/12/25 21:23,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Public Assist
Building Check,2503120070,3/12/25 20:49,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Building Check,2503120069,3/12/25 19:11,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Call Boxes-blue Phones,2503120068,3/12/25 19:06,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Completed
Building Check,2503120067,3/12/25 18:07,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Suspicious Subject,2503120065,3/12/25 17:59,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120062,3/12/25 17:58,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120063,3/12/25 17:58,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503120064,3/12/25 17:58,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Public Service,2503120061,3/12/25 17:51,,"Mental Health Urgent Care (Adult), 9800 Block Of County Farm Rd",Completed
Petty Theft - All Other Larceny (M),25-0339,3/12/25 11:10,3/7/2025 2:00 PM - 3/12/2025 11:10 AM,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Suspended/pending Further Leads
Information,2503120036,3/12/25 11:01,,"Parking Lot 30, 900 Block Of University Ave",Completed
911 Call,2503120034,3/12/25 10:48,,School Of Medicine Research Building,Completed
Burglary,2503120024,3/12/25 6:45,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",False Alarm: Unknown Reason
Public Service,2503120015,3/12/25 3:21,,"Glasgow Dining, 600 Block Of Linden St",Completed
Pedestrian Check,2503120005,3/12/25 2:09,,,Warning (Verbal)
Public Service,2503110097,3/11/25 23:28,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503110095,3/11/25 23:19,,,Warning (Verbal)
Public Service,2503110093,3/11/25 23:03,,"Parking Lot 19, 900 Block Of University Ave",Completed
Traffic Stop,2503110092,3/11/25 22:41,,93700 Block Of Iowa Ave,Warning (Verbal)
Building Check,2503110091,3/11/25 22:35,,"Arts Building, 900 Block Of University Ave",Completed
Cso Services,2503110087,3/11/25 21:59,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503110085,3/11/25 21:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503110086,3/11/25 21:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2503110084,3/11/25 21:55,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Building Check,2503110080,3/11/25 21:16,,"Herbert John Webber Hall, 900 Block Of University Ave",Completed
Grand Theft:money/labor/property - All Other Larceny (F),25-0338,3/11/25 21:08,3/10/25 12:00,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Pedestrian Check,2503110074,3/11/25 20:42,,,Report Taken
Public Service,2503110070,3/11/25 20:17,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Building Check,2503110069,3/11/25 19:30,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Fire Alarm,2503110068,3/11/25 19:29,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Building Check,2503110065,3/11/25 18:12,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Building Check,2503110064,3/11/25 17:06,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Public Service,2503110063,3/11/25 16:56,,"Herbert John Webber Hall, 900 Block Of University Ave",Completed
Petty Theft,2503110051,3/11/25 12:05,,"Interior Mall, 900 Block Of University Ave",Completed
Suspicious Circumstances,2503110047,3/11/25 11:38,,"Parking Lot 24, 900 Block Of University Ave",Gone On Arrival
Suspicious Circumstances,2503110046,3/11/25 11:35,,"North District Bldg A, 700 Block Of Linden St",Gone On Arrival
Hit And Run Resulting In Injury Or Death (M),25-0336,3/11/25 11:18,3/11/25 11:06,"West Campus Dr/ Canyon Crest Dr, 900 Block Of University Ave",Referred To Detective Division
Area Check,2503110042,3/11/25 10:45,,"Interior Mall, 900 Block Of University Ave",Completed
Flagdown,2503110036,3/11/25 9:57,,"Parking Lot 30, 900 Block Of University Ave",Completed
Public Service,2503110024,3/11/25 4:08,,"Parking Lot 19, 900 Block Of University Ave",Completed
Public Service,2503110016,3/11/25 2:46,,"Glasgow Dining, 600 Block Of Linden St",Completed
Cso Services,2503100102,3/10/25 22:59,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503100103,3/10/25 22:59,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
911 Call,2503100096,3/10/25 22:28,,600 Block Of W Linden St,Gone On Arrival
911 Call,2503100095,3/10/25 22:25,,"Glasgow Dining, 600 Block Of Linden St",Gone On Arrival
Traffic Stop,2503100092,3/10/25 22:17,,,Warning (Verbal)
Cso Services,2503100085,3/10/25 21:54,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
 County Misdemeanor Warrant,25-0335,3/10/25 20:43,3/10/25 20:43,,Cleared By Arrest
Found Property,2503100074,3/10/25 19:12,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Fire Alarm,2503100073,3/10/25 19:02,,"International Village Apartments, 1100 Block Of Everton Pl",False Alarm: Human Activation
Grand Theft:money/labor/property - All Other Larceny (F),25-0333,3/10/25 18:43,3/7/2025 6:50 PM - 3/10/2025 6:30 PM,"Big Springs Parking Structure #2, 900 Block Of University Ave",Referred To Detective Division
Cso Services,2503100069,3/10/25 18:33,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503100070,3/10/25 18:33,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503100071,3/10/25 18:33,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Suspicious Circumstances,2503100064,3/10/25 16:12,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Gone On Arrival
Fire Alarm,2503100063,3/10/25 15:43,,"International Village Apartments, 1100 Block Of Everton Pl",False Alarm: Human Activation
Inflict Corporal Injury On Spouse/cohabitant/datng Relatnshp - Aggravated (F),25-0332,3/10/25 15:34,3/10/25 15:34,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Referred To Detective Division
Theft Of Prop After Prior - All Other Larceny (F),25-0331,3/10/25 15:07,3/10/25 14:00,"University Lecture Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Information,2503100054,3/10/25 14:39,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Assist Other Department,2503100045,3/10/25 13:07,,,Gone On Arrival
Public Service,2503100043,3/10/25 12:25,,"Police Building, 3500 Block Of Canyon Crest Dr",Public Assist
Found Property,2503100036,3/10/25 11:14,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Report Taken
Public Service,2503100033,3/10/25 10:30,,"Parking Lot 26, 1000 Block Of Blaine St",Completed
Burglary,2503100031,3/10/25 9:55,,"International Village Apartments, 1100 Block Of Everton Pl",Report Taken
Tamper With Vehicle - Motor Vehicle Parts/accessories (M),25-0328,3/10/25 9:49,3/7/2025 2:00 PM - 3/10/2025 12:53 AM,"Parking Lot 9, 900 Block Of University Ave",Suspended/pending Further Leads
Theft Of Prop After Prior - False Pretenses/swindle/confidence Game (F),25-0327,3/10/25 9:27,4/30/24 0:00,"Police Building, 3500 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Information,2503100024,3/10/25 8:32,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Area Check,2503100010,3/10/25 4:04,,"Stonehaven Apartments, 3200 Block Of Canyon Crest Dr",Completed
Building Check,2503100003,3/10/25 1:57,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Completed
Public Service,2503100001,3/10/25 1:35,,"North District Bldg A, 700 Block Of Linden St",Completed
Mental Danger To Self Or Others,2503090129,3/9/25 23:28,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Report Taken
Public Service,2503090126,3/9/25 22:49,,"Highlander Union Building, 900 Block Of University Ave",Completed
Building Check,2503090124,3/9/25 22:44,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2503090123,3/9/25 22:37,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Public Service,2503090114,3/9/25 21:29,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Completed
Building Check,2503090113,3/9/25 21:20,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503090111,3/9/25 20:58,,,Cite Issued
Traffic Stop,2503090109,3/9/25 20:43,,,Warning (Verbal)
Building Check,2503090103,3/9/25 20:14,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Building Check,2503090093,3/9/25 19:21,,"Materials Science & Engineering, 900 Block Of University Ave",Completed
Building Check,2503090091,3/9/25 18:29,,"Winston Chung Hall, 900 Block Of University Ave",Completed
Building Check,2503090088,3/9/25 18:28,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Building Check,2503090089,3/9/25 18:28,,"Oban Apartments, 900 Block Of Linden St",Completed
Building Check,2503090090,3/9/25 18:28,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Call Boxes-blue Phones,2503090084,3/9/25 17:56,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Public Service,2503090083,3/9/25 17:52,,"Parking Lot 19, 900 Block Of University Ave",Completed
Outside County Misdemeanor Warrant,25-0325,3/9/25 17:28,3/9/2025 5:42 PM - 3/9/2025 5:45 PM,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Cleared By Arrest
Building Check,2503090078,3/9/25 17:20,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
Silent Burglary Alarm,2503090064,3/9/25 13:52,,"Life Sciences, 900 Block Of University Ave",False Alarm: Human Activation
911 Call,2503090062,3/9/25 13:25,,"Uc  Botanic Gardens, 0 Block Of Botanic Gardens Dr",Completed
Public Service,2503090061,3/9/25 12:51,,"Athletics And Dance Building, 900 Block Of University Ave",Completed
Possess Unlawful Paraphernalia (M),25-0324,3/9/25 10:59,3/9/2025 11:40 AM - 3/9/2025 12:00 PM,"Oban Apartments, 900 Block Of Linden St",Cleared By Arrest
 County Misdemeanor Warrant,25-0324,3/9/25 10:59,3/9/2025 11:40 AM - 3/9/2025 12:00 PM,"Oban Apartments, 900 Block Of Linden St",Cleared By Arrest
Suspicious Subject,2503090038,3/9/25 5:32,,"Sports Complex, 1000 Block Of Blaine St",Completed
Misc Alarms - Simplex Etc.,2503090036,3/9/25 5:12,,"Highlander Union Building, 900 Block Of University Ave",Completed
Assist Other Department,2503090018,3/9/25 3:26,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Arson,2503090016,3/9/25 3:11,,,Completed
Building Check,2503090007,3/9/25 0:34,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Area Check,2503080097,3/8/25 23:33,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Building Check,2503080094,3/8/25 23:19,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2503080091,3/8/25 23:04,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503080092,3/8/25 23:04,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503080087,3/8/25 22:55,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503080089,3/8/25 22:55,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503080086,3/8/25 22:36,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Fire Alarm,2503080074,3/8/25 18:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",False Alarm: Human Activation
Cso Services,2503080073,3/8/25 18:25,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503080071,3/8/25 18:24,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503080072,3/8/25 18:24,,"Oban Apartments, 900 Block Of Linden St",Completed
Suspicious Circumstances,2503080067,3/8/25 15:54,,"International Village Apartments, 1100 Block Of Everton Pl",Completed
911 Call,2503080053,3/8/25 12:53,,"Parking Lot 24, 900 Block Of University Ave",Completed
Fire Alarm,2503080043,3/8/25 11:33,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",False Alarm: Human Activation
Public Service,2503080028,3/8/25 7:50,,"Highlander Union Building, 900 Block Of University Ave",Cancelled
Medical Aid,2503080021,3/8/25 4:58,,"Dundee Residence Hall, 600 Block Of Linden St",Completed
Building Check,2503080011,3/8/25 2:03,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Suspicious Subject,2503080002,3/8/25 0:26,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Gone On Arrival
Possess Unlawful Paraphernalia (M),25-0323,3/8/25 0:26,3/8/2025 12:26 AM - 3/8/2025 1:08 AM,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Cleared By Arrest
Possess Controlled Substance (M),25-0323,3/8/25 0:26,3/8/2025 12:26 AM - 3/8/2025 1:08 AM,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Cleared By Arrest
 County Misdemeanor Warrant,25-0323,3/8/25 0:26,3/8/2025 12:26 AM - 3/8/2025 1:08 AM,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Cleared By Arrest
Building Check,2503070102,3/7/25 23:59,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503070100,3/7/25 23:49,,,Warning (Verbal)
Traffic Stop,2503070098,3/7/25 23:28,,,Warning (Verbal)
Traffic Stop,2503070097,3/7/25 23:13,,,Warning (Verbal)
Traffic Stop,2503070096,3/7/25 23:08,,,Warning (Verbal)
Traffic Stop,2503070095,3/7/25 23:00,,,Warning (Verbal)
Building Check,2503070092,3/7/25 22:44,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2503070091,3/7/25 22:39,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503070087,3/7/25 22:38,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503070088,3/7/25 22:38,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503070089,3/7/25 22:38,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503070090,3/7/25 22:38,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Suspicious Circumstances,2503070085,3/7/25 22:05,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Public Service,2503070083,3/7/25 20:42,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Public Assist
Suspicious Circumstances,2503070080,3/7/25 18:43,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Report Taken
Cso Services,2503070079,3/7/25 18:27,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503070078,3/7/25 18:26,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Medical Aid,2503070076,3/7/25 17:08,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503070075,3/7/25 16:57,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Warning (Verbal)
Fire Alarm,2503070072,3/7/25 15:22,,"University Plaza Apartments, 1000 Block Of Linden St",False Alarm: Human Activation
Fire Alarm,2503070071,3/7/25 15:21,,"Highlander Union Building, 900 Block Of University Ave",False Alarm: Human Activation
Hit & Run Prop Damage:locate/etc,25-0321,3/7/25 14:01,3/7/25 9:45,"Parking Lot 11, 900 Block Of University Ave",Suspended/pending Further Leads
Traffic Accident - Unknown Injuries,2503070067,3/7/25 13:51,,"Parking Lot 25, 900 Block Of University Ave",Completed
Vehicle Check,2503070065,3/7/25 12:50,,"Parking Lot 13, 900 Block Of University Ave",Completed
911 Call,2503070064,3/7/25 12:46,,,Log Note Only
Pedestrian Check,2503070063,3/7/25 12:45,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Completed
Public Service,2503070055,3/7/25 10:54,,"Police Building, 3500 Block Of Canyon Crest Dr",Cancelled
Petty Theft - All Other Larceny (M),25-0320,3/7/25 9:32,3/7/25 7:00,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Medical Aid,2503070048,3/7/25 8:59,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Found Property,2503070044,3/7/25 7:55,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Silent Burglary Alarm,2503070039,3/7/25 6:24,,"Tomas Rivera Library, 900 Block Of University Ave",False Alarm: Unknown Reason
Public Service,2503070008,3/7/25 0:40,,,Completed
Building Check,2503070003,3/7/25 0:08,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503070002,3/7/25 0:03,,,Warning (Verbal)
Public Service,2503060103,3/6/25 23:57,,,Public Assist
Building Check,2503060093,3/6/25 23:02,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Cso Services,2503060092,3/6/25 22:35,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503060091,3/6/25 22:34,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503060090,3/6/25 22:33,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503060089,3/6/25 22:31,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503060088,3/6/25 22:30,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503060087,3/6/25 22:28,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
,2503060079,3/6/25 20:38,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Silent Burglary Alarm,2503060077,3/6/25 19:19,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",False Alarm: Unknown Reason
Cso Services,2503060075,3/6/25 18:25,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503060076,3/6/25 18:25,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503060073,3/6/25 18:23,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Information,2503060069,3/6/25 17:22,,"Pentland Hills, 0 Block Of Pentland Way",Log Note Only
Fire Alarm,2503060067,3/6/25 16:39,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Medical Aid,2503060062,3/6/25 14:36,,"School Of Business, 900 Block Of University Ave",Completed
Petty Theft - From Building (M),25-0319,3/6/25 13:52,3/6/2025 1:30 PM - 3/6/2025 1:35 PM,"Student Recreation Center North, 900 Block Of University Ave",Suspended/pending Further Leads
Public Service,2503060058,3/6/25 13:15,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Fire Alarm,2503060053,3/6/25 12:49,,"The Barn, 1500 Block Of W Campus Dr",Cancelled
Petty Theft - All Other Larceny (M),25-0317,3/6/25 12:11,3/6/25 11:00,"Glasgow Dining, 600 Block Of Linden St",Suspended/pending Further Leads
Burglary - Burglary/breaking And Entering (F),25-0316,3/6/25 8:53,3/5/2025 2:30 PM - 3/6/2025 6:30 AM,"North Dist Phase 2 Const, 3400 Block Of Canyon Crest Dr",Referred To Detective Division
Welfare Check,2503060038,3/6/25 7:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Area Check,2503060005,3/6/25 0:31,,"Veitch Building, 900 Block Of University Ave",Completed
Building Check,2503060003,3/6/25 0:09,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Call Boxes-blue Phones,2503060002,3/6/25 0:07,,"Materials Science & Engineering, 900 Block Of University Ave",Completed
Call Boxes-blue Phones,2503050130,3/5/25 23:46,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Public Service,2503050125,3/5/25 22:58,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Public Assist
Cso Services,2503050121,3/5/25 22:25,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503050122,3/5/25 22:25,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503050123,3/5/25 22:25,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503050124,3/5/25 22:25,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503050120,3/5/25 22:24,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Traffic Stop,2503050113,3/5/25 21:32,,,Warning (Verbal)
Fire Alarm,2503050103,3/5/25 21:00,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",False Alarm: Unknown Reason
Suspicious Circumstances,2503050102,3/5/25 20:57,,"Parking Lot 13, 900 Block Of University Ave",Completed
Lot Check,2503050099,3/5/25 20:50,,"Parking Lot 6, 900 Block Of University Ave",Completed
Building Check,2503050097,3/5/25 19:45,,"Student Success Center, 900 Block Of University Ave",Completed
911 Call,2503050095,3/5/25 19:17,,,Log Note Only
Building Check,2503050093,3/5/25 18:43,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Cso Services,2503050090,3/5/25 18:20,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503050089,3/5/25 18:15,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Building Check,2503050087,3/5/25 18:06,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Fire Alarm,2503050083,3/5/25 17:43,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",False Alarm: Unknown Reason
Petty Theft - All Other Larceny (M),25-0315,3/5/25 17:43,3/5/2025 2:20 PM - 3/5/2025 3:45 PM,"North District Bldg A, 700 Block Of Linden St",Suspended/pending Further Leads
Public Service,2503050076,3/5/25 16:35,,"Genomics Building, 900 Block Of University Ave",Completed
Suspicious Circumstances,2503050070,3/5/25 15:30,,"Agricultural Operations, 1000 Block Of Martin Luther King Blvd",Report Taken
